"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","show_predictions","show_movies 2","show_movies href","show_movies 3","rank_user href"
",  Group A","2022-08-24 19:00","Avrupa Şampiyonası Elemeleri 2023","https://women.volleybox.net/tr/women-european-championship-qualification-2023-o24972/matches","Stórhøll á Hálsi, Tórshavn","https://women.volleybox.net/tr/storhll-a-halsi-a1354/matches","Faroe Adaları","https://women.volleybox.net/tr/faroe-islands-t829/matches","https://volleybox.net/media/upload/teams/nt_flag_Faroe_Islands.png","0 : 3","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/upload/teams/nt_flag_Romania.png","Romanya","https://women.volleybox.net/tr/faroe-islands-romania-c126283","2 yıl önce önce  tarafından eklendi","B…2","","","","","",""
",  Group A","2022-08-28 20:00","Avrupa Şampiyonası Elemeleri 2023","https://women.volleybox.net/tr/women-european-championship-qualification-2023-o24972/matches","Nastavno-Športska Dvorana Gradski Vrt, Osijek","https://women.volleybox.net/tr/nastavno-sportska-dvorana-gradski-vrt-a190/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","3 : 1","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/upload/teams/nt_flag_Romania.png","Romanya","https://women.volleybox.net/tr/croatia-romania-c126264","2 yıl önce önce  tarafından eklendi","B…2","1","","","","",""
",  Group A","2022-09-03 18:00","Avrupa Şampiyonası Elemeleri 2023","https://women.volleybox.net/tr/women-european-championship-qualification-2023-o24972/matches","Polyvalent Hall, Piatra Neamt","https://women.volleybox.net/tr/polyvalent-hall-a2953/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/romania-croatia-c126265","2 yıl önce önce  tarafından eklendi","B…2","","","","","",""
",  Group A","2022-09-07 17:00","Avrupa Şampiyonası Elemeleri 2023","https://women.volleybox.net/tr/women-european-championship-qualification-2023-o24972/matches","Polyvalent Hall, Piatra Neamt","https://women.volleybox.net/tr/polyvalent-hall-a2953/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/faroe-islands-t829/matches","https://volleybox.net/media/img/light-px.png","Faroe Adaları","https://women.volleybox.net/tr/romania-faroe-islands-c126267","2 yıl önce önce  tarafından eklendi","B…2","","","","","",""
",  Group A","2022-09-11 20:30","Avrupa Şampiyonası Elemeleri 2023","https://women.volleybox.net/tr/women-european-championship-qualification-2023-o24972/matches","Enerbox Sport Palace, Hadera","https://women.volleybox.net/tr/enerbox-sport-palace-a3330/matches","İsrail","https://women.volleybox.net/tr/israel-t919/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","Romanya","https://women.volleybox.net/tr/israel-romania-c126270","2 yıl önce önce  tarafından eklendi","B…2","","","","","",""
",  Group B","2023-05-27 18:00","Avrupa Altın Ligi 2023","https://women.volleybox.net/tr/women-european-golden-league-2023-o26490/matches","Sala Sporturilor Trivale Pitesti, Pitesti","https://women.volleybox.net/tr/sala-sporturilor-trivale-pitesti-a1744/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/img/light-px.png","Slovakya","https://women.volleybox.net/tr/romania-slovakia-c159800","2 yıl önce önce  tarafından eklendi","Belgium","1","53","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66593","1","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
",  Group B","2023-06-03 17:00","Avrupa Altın Ligi 2023","https://women.volleybox.net/tr/women-european-golden-league-2023-o26490/matches","Ostravar Aréna, Ostrava","https://women.volleybox.net/tr/ostravar-arena-a1026/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","Romanya","https://women.volleybox.net/tr/czech-republic-romania-c159802","2 yıl önce önce  tarafından eklendi","Belgium","2","68","","","","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
",  Group B","2023-06-08 18:00","Avrupa Altın Ligi 2023","https://women.volleybox.net/tr/women-european-golden-league-2023-o26490/matches","Sala Sporturilor Trivale Pitesti, Pitesti","https://women.volleybox.net/tr/sala-sporturilor-trivale-pitesti-a1744/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/romania-czech-republic-c159803","2 yıl önce önce  tarafından eklendi","Belgium","2","73","","","1","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
",  Group B","2023-06-17 20:00","Avrupa Altın Ligi 2023","https://women.volleybox.net/tr/women-european-golden-league-2023-o26490/matches","Mestská ŠH Nitra, Nitra","https://women.volleybox.net/tr/mestska-sh-nitra-a819/matches","Slovakya","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","Romanya","https://women.volleybox.net/tr/slovakia-romania-c159805","2 yıl önce önce  tarafından eklendi","Belgium","1","78","","","","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
",  Group B","2023-08-15 21:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Arena di Verona, Verona","https://women.volleybox.net/tr/arena-di-verona-a6530/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","Romanya","https://women.volleybox.net/tr/italy-romania-c161087","2 yıl önce önce  tarafından eklendi","Belgium","2","82","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66599","1","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
