"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_movies","show_movies href","show_movies 2"
",  Group B","2015-06-15 21:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","1 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/germany-serbia-c375","10 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","",""
",  Group B","2015-06-17 15:30","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","3 : 0","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","Bulgaristan","https://women.volleybox.net/tr/serbia-bulgaria-c394","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","",""
",  Group B","2015-06-19 15:30","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/serbia-netherlands-c455","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","",""
",  Group B","2015-06-21 23:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/russia-serbia-c433","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","",""
",  quarterfinal","2015-06-23 22:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/belgium-serbia-c454","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","",""
",  semi-final","2015-06-25 18:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/poland-serbia-c456","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","",""
",  3rd place match","2015-06-27 17:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Azerbaycan","https://women.volleybox.net/tr/azerbaijan-t682/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/azerbaijan-serbia-c469","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","",""
",  Group A","2015-07-03 12:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/thailand-serbia-c491","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-001.pdf",""
",  Group A","2015-07-04 10:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/brazil-serbia-c521","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-003.pdf",""
",  Group A","2015-07-05 10:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/japan-serbia-c31335","5 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-005.pdf",""
