"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","connected_by","rank_user","rank_user href","rank_newbie","rank_newbie href"
",  Group B1","2016-06-10 23:15","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Arena Carioca 1, Rio de Janeiro","https://women.volleybox.net/tr/arena-carioca-1-a754/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","3 : 1","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/italy-serbia-c3296","2","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group B1","2016-06-12 16:05","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Arena Carioca 1, Rio de Janeiro","https://women.volleybox.net/tr/arena-carioca-1-a754/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/upload/teams/nt_flag_Brazil.png","3 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/brazil-serbia-c3297","1","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group D1","2016-06-17 11:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/upload/teams/nt_flag_Brazil.png","2 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/brazil-serbia-c3329","","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group D1","2016-06-18 12:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/china-serbia-c3332","","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group D1","2016-06-19 08:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/belgium-serbia-c3333","","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group I1","2016-06-24 10:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Shimadzu Arena Kyoto, Kyoto City Kyoto","https://women.volleybox.net/tr/shimadzu-arena-kyoto-a266/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/serbia-russia-c3371","","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group I1","2016-06-25 12:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Shimadzu Arena Kyoto, Kyoto City Kyoto","https://women.volleybox.net/tr/shimadzu-arena-kyoto-a266/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/japan-serbia-c3374","","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group I1","2016-06-26 09:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Shimadzu Arena Kyoto, Kyoto City Kyoto","https://women.volleybox.net/tr/shimadzu-arena-kyoto-a266/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/serbia-thailand-c3375","","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group B","2016-08-06 18:35","Olimpiyat Oyunları 2016","https://women.volleybox.net/tr/women-the-olympics-2016-o965/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/serbia-italy-c31756","","5 yıl önce önce  tarafından eklendi","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group B","2016-08-08 13:05","Olimpiyat Oyunları 2016","https://women.volleybox.net/tr/women-the-olympics-2016-o965/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/serbia-puerto-rico-c31759","","5 yıl önce önce  tarafından eklendi","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group B","2016-08-10 11:00","Olimpiyat Oyunları 2016","https://women.volleybox.net/tr/women-the-olympics-2016-o965/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/usa-serbia-c31762","","5 yıl önce önce  tarafından eklendi","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group B","2016-08-12 05:30","Olimpiyat Oyunları 2016","https://women.volleybox.net/tr/women-the-olympics-2016-o965/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/china-serbia-c31763","1","5 yıl önce önce  tarafından eklendi","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group B","2016-08-14 05:30","Olimpiyat Oyunları 2016","https://women.volleybox.net/tr/women-the-olympics-2016-o965/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/serbia-netherlands-c31766","","5 yıl önce önce  tarafından eklendi","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  quarterfinal","2016-08-16 14:00","Olimpiyat Oyunları 2016","https://women.volleybox.net/tr/women-the-olympics-2016-o965/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/russia-serbia-c31771","1","5 yıl önce önce  tarafından eklendi","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
