"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_admin","rank_admin href","show_predictions","show_movies 2","show_movies href","rank_user href"
",  2nd round - Group B","2017-05-24 16:30","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Torwar, Warsaw","https://women.volleybox.net/tr/torwar-a347/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/czech-republic-serbia-c181439","1 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  2nd round - Group B","2017-05-25 16:30","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Torwar, Warsaw","https://women.volleybox.net/tr/torwar-a347/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","3 : 0","https://women.volleybox.net/tr/cyprus-t790/matches","https://volleybox.net/media/upload/teams/nt_flag_Cyprus.png","Kıbrıs","https://women.volleybox.net/tr/serbia-cyprus-c181444","1 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  2nd round - Group B","2017-05-27 19:00","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Torwar, Warsaw","https://women.volleybox.net/tr/torwar-a347/matches","Slovakya","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/upload/teams/nt_flag_Slovakia.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/slovakia-serbia-c181448","1 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  2nd round - Group B","2017-05-28 21:30","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Torwar, Warsaw","https://women.volleybox.net/tr/torwar-a347/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","3 : 0","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/serbia-poland-c181452","1 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  Group D","2018-05-15 23:30","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Ginásio Poliesportivo José Correa, Barueri","https://women.volleybox.net/tr/ginasio-poliesportivo-jose-correa-a677/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/japan-serbia-c10072","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group D","2018-05-16 23:30","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Ginásio Poliesportivo José Correa, Barueri","https://women.volleybox.net/tr/ginasio-poliesportivo-jose-correa-a677/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/germany-serbia-c10074","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group D","2018-05-17 21:05","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Ginásio Poliesportivo José Correa, Barueri","https://women.volleybox.net/tr/ginasio-poliesportivo-jose-correa-a677/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/upload/teams/nt_flag_Brazil.png","3 : 1","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/brazil-serbia-c10075","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group G","2018-05-22 11:30","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/thailand-serbia-c10089","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group G","2018-05-23 12:30","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/poland-serbia-c10091","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group G","2018-05-24 15:50","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/china-serbia-c10094","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
