"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","connected_by","rank_user","rank_user href","show_movies 2","show_movies href"
",  Group D","2019-05-22 13:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Aleksandar Nikolić Hala, Belgrade","https://women.volleybox.net/tr/aleksandar-nikolic-hala-a368/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","3 : 1","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","Güney Kore","https://women.volleybox.net/tr/serbia-south-korea-c15796","20","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group D","2019-05-23 21:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Aleksandar Nikolić Hala, Belgrade","https://women.volleybox.net/tr/aleksandar-nikolic-hala-a368/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/turkey-serbia-c15807","23","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group E","2019-05-28 18:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Zoppas Arena, Conegliano","https://women.volleybox.net/tr/zoppas-arena-a1414/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/usa-serbia-c15897","19","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group E","2019-05-29 13:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Zoppas Arena, Conegliano","https://women.volleybox.net/tr/zoppas-arena-a1414/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/serbia-dominican-republic-c15905","19","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group E","2019-05-30 21:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Zoppas Arena, Conegliano","https://women.volleybox.net/tr/zoppas-arena-a1414/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/serbia-italy-c15915","19","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group L","2019-06-04 18:15","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Sportcampus Lange Munte, Kortrijk","https://women.volleybox.net/tr/sportcampus-lange-munte-a2444/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/serbia-poland-c15989","19","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group L","2019-06-05 18:15","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Sportcampus Lange Munte, Kortrijk","https://women.volleybox.net/tr/sportcampus-lange-munte-a2444/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/serbia-russia-c15991","17","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group L","2019-06-06 16:15","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Sportcampus Lange Munte, Kortrijk","https://women.volleybox.net/tr/sportcampus-lange-munte-a2444/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/belgium-serbia-c15994","18","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group O","2019-06-11 04:40","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Musashino Forest Sports Plaza, Chofu City Tokyo","https://women.volleybox.net/tr/musashino-forest-sports-plaza-a1211/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/serbia-thailand-c16007","18","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group O","2019-06-12 08:10","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Musashino Forest Sports Plaza, Chofu City Tokyo","https://women.volleybox.net/tr/musashino-forest-sports-plaza-a1211/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/japan-serbia-c16010","19","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group O","2019-06-13 04:40","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Musashino Forest Sports Plaza, Chofu City Tokyo","https://women.volleybox.net/tr/musashino-forest-sports-plaza-a1211/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/brazil-serbia-c16011","18","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group R","2019-06-18 05:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/bulgaria-serbia-c16025","21","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group R","2019-06-19 05:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/serbia-germany-c16027","19","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group R","2019-06-20 08:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/china-serbia-c16030","17","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  1st round","2019-08-15 21:00","Gloria Cup 2018/19","https://women.volleybox.net/tr/women-gloria-cup-2018-19-o9834/matches","Gloria Sport Arena, Antalya","https://women.volleybox.net/tr/gloria-sport-arena-a1321/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/serbia-italy-c18663","","5 yıl önce önce  tarafından eklendi","","","",""
",  2nd round","2019-08-16 18:30","Gloria Cup 2018/19","https://women.volleybox.net/tr/women-gloria-cup-2018-19-o9834/matches","Gloria Sport Arena, Antalya","https://women.volleybox.net/tr/gloria-sport-arena-a1321/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/croatia-serbia-c18665","","5 yıl önce önce  tarafından eklendi","","","",""
",  3rd round","2019-08-17 16:30","Gloria Cup 2018/19","https://women.volleybox.net/tr/women-gloria-cup-2018-19-o9834/matches","Gloria Sport Arena, Antalya","https://women.volleybox.net/tr/gloria-sport-arena-a1321/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/turkey-serbia-c18666","","5 yıl önce önce  tarafından eklendi","","","",""
",  Group A","2019-08-23 19:00","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/finland-t835/matches","https://volleybox.net/media/img/light-px.png","Finlandiya","https://women.volleybox.net/tr/serbia-finland-c14157","","6 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32137"
",  Group A","2019-08-25 19:00","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/bulgaria-serbia-c14159","","6 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32141"
