"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","show_movies","rank_user","rank_user href","show_predictions","show_movies 2","show_movies href","rank_newbie","rank_newbie href","rank_moderator","rank_moderator href"
",  Round Robin","2024-07-18 12:00","Memoriał Agaty Mróz-Olszewskiej 2024/25","https://women.volleybox.net/tr/women-memorial-agaty-mroz-olszewskiej-2024-25-o35482/matches","MOSiR Hall, Mielec","https://women.volleybox.net/tr/mosir-hall-a329/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/dominican-republic-serbia-c242139","10 ay önce önce  tarafından eklendi","","","","","","","","","",""
",  Round Robin","2024-07-19 14:30","Memoriał Agaty Mróz-Olszewskiej 2024/25","https://women.volleybox.net/tr/women-memorial-agaty-mroz-olszewskiej-2024-25-o35482/matches","MOSiR Hall, Mielec","https://women.volleybox.net/tr/mosir-hall-a329/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","3 : 1","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/serbia-poland-c242142","10 ay önce önce  tarafından eklendi","","","","","","","","","",""
",  final","2025-05-31 14:30","Channel One Cup 2025","https://women.volleybox.net/tr/women-channel-one-cup-2025-o40758/matches","Aleksandar Nikolić Hala, Belgrade","https://women.volleybox.net/tr/aleksandar-nikolic-hala-a368/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","2 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","Rusya","https://women.volleybox.net/tr/serbia-russia-c299599","2 hafta önce önce  tarafından eklendi","2","JakeGreen","https://women.volleybox.net/tr/user/JakeGreen","","","","","","",""
",  Week One","2025-06-04 23:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/dominican-republic-serbia-c281020","4 ay önce önce  tarafından eklendi","","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","109","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256750317.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250605%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250605T054030Z&X-Amz-SignedHeaders=host&X-Amz-Signature=fa2a5aa1800a9b2e6477d662c7d6b71abd29d70ed37f2809f78c48606e140a9d","","","",""
",  Week One","2025-06-07 02:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/serbia-japan-c281024","4 ay önce önce  tarafından eklendi","2","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","105","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256752246","","","",""
",  Week One","2025-06-08 02:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/bulgaria-dominican-republic-c281025","4 ay önce önce  tarafından eklendi","1","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","99","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256753325.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250608%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250608T050240Z&X-Amz-SignedHeaders=host&X-Amz-Signature=9ae45ea86e8df067a705ecb10e4d85edcadc95b874eaf83bef12795b17e62d83","","","",""
",  Week One","2025-06-09 01:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/canada-serbia-c281030","4 ay önce önce  tarafından eklendi","","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","103","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256753935.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250609%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250609T060628Z&X-Amz-SignedHeaders=host&X-Amz-Signature=84c4b9eb19da70756d1caf0e842fae2148eb1710c4fcef7342796eed786c10bb","","","",""
",  Week Two","2025-06-18 21:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/serbia-usa-c300081","2 gün önce önce  tarafından eklendi","","","","52","","","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-19 21:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/germany-serbia-c300086","2 gün önce önce  tarafından eklendi","","","","35","","","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-21 21:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/france-serbia-c300097","2 gün önce önce  tarafından eklendi","","","","31","","","Michał","https://women.volleybox.net/tr/user/michal9408","",""
