"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_movies","show_movies href","rank_editor","rank_editor href"
",  semi-final","2015-05-27 17:00","Asya Şampiyonası 2015","https://women.volleybox.net/tr/women-asian-championships-2015-o335/matches","Tianjin Olympic Center Stadium, Tianjin","https://women.volleybox.net/tr/tianjin-olympic-center-stadium-a544/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/china-thailand-c860","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","","",""
",  Group A","2015-06-11 09:00","Güneydoğu Asya Oyunları 2015","https://women.volleybox.net/tr/women-southeast-asian-games-2015-o4587/matches","OCBC Arena Hall, Kallang","https://women.volleybox.net/tr/ocbc-arena-hall-a3753/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","3 : 0","https://women.volleybox.net/tr/myanmar-t1045/matches","https://volleybox.net/media/upload/teams/nt_flag_Myanmar.png","Myanmar","https://women.volleybox.net/tr/thailand-myanmar-c82659","3 yıl önce önce  tarafından eklendi","","","1","http://results.seagames2015.com/eng/vo/engvo_volleyball_match_results_p2_women_w400_a_01.htm","Jake","https://women.volleybox.net/tr/user/flora_02"
",  Group A","2015-06-12 07:00","Güneydoğu Asya Oyunları 2015","https://women.volleybox.net/tr/women-southeast-asian-games-2015-o4587/matches","OCBC Arena Hall, Kallang","https://women.volleybox.net/tr/ocbc-arena-hall-a3753/matches","Singapur","https://women.volleybox.net/tr/singapore-t1168/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/singapore-thailand-c82660","3 yıl önce önce  tarafından eklendi","","","1","http://results.seagames2015.com/eng/vo/engvo_volleyball_match_results_p2_women_w400_a_02.htm","Jake","https://women.volleybox.net/tr/user/flora_02"
",  semi-final","2015-06-14 10:00","Güneydoğu Asya Oyunları 2015","https://women.volleybox.net/tr/women-southeast-asian-games-2015-o4587/matches","OCBC Arena Hall, Kallang","https://women.volleybox.net/tr/ocbc-arena-hall-a3753/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/indonesia-t907/matches","https://volleybox.net/media/img/light-px.png","Endonezya","https://women.volleybox.net/tr/thailand-indonesia-c82668","3 yıl önce önce  tarafından eklendi","","","1","http://results.seagames2015.com/eng/vo/engvo_volleyball_match_results_p2_women_w400_2_01.htm","Jake","https://women.volleybox.net/tr/user/flora_02"
",  final","2015-06-15 12:00","Güneydoğu Asya Oyunları 2015","https://women.volleybox.net/tr/women-southeast-asian-games-2015-o4587/matches","OCBC Arena Hall, Kallang","https://women.volleybox.net/tr/ocbc-arena-hall-a3753/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/img/light-px.png","Vietnam","https://women.volleybox.net/tr/thailand-vietnam-c82670","3 yıl önce önce  tarafından eklendi","","","1","http://results.seagames2015.com/eng/vo/engvo_volleyball_match_results_p2_women_w400_1_01.htm","Jake","https://women.volleybox.net/tr/user/flora_02"
",  Group A","2015-07-03 12:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/thailand-serbia-c491","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-001.pdf","",""
",  Group A","2015-07-04 12:30","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/thailand-japan-c546","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-004.pdf","",""
",  Group A","2015-07-05 12:30","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/thailand-brazil-c520","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-006.pdf","",""
",  Group D","2015-07-10 12:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Ginásio do Ibirapuera, Sao Paolo","https://women.volleybox.net/tr/ginasio-do-ibirapuera-a80/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/germany-thailand-c531","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-020.pdf","",""
",  Group D","2015-07-11 06:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Ginásio do Ibirapuera, Sao Paolo","https://women.volleybox.net/tr/ginasio-do-ibirapuera-a80/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/brazil-thailand-c534","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-021.pdf","",""
