"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_moderator","rank_moderator href","show_movies","show_movies href","rank_admin","rank_admin href","rank_editor","rank_editor href"
",  Group B","2017-06-08 17:30","Montreux Volley Masters 2017","https://women.volleybox.net/tr/women-montreux-volley-masters-2017-o3751/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/germany-thailand-c5906","8 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","","","","",""
",  Group B","2017-06-09 19:45","Montreux Volley Masters 2017","https://women.volleybox.net/tr/women-montreux-volley-masters-2017-o3751/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/thailand-brazil-c5907","8 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","","","","",""
",  5-8 places","2017-06-09 23:00","Montreux Volley Masters 2017","https://women.volleybox.net/tr/women-montreux-volley-masters-2017-o3751/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/netherlands-thailand-c5911","8 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","","","","",""
",  Group C1","2017-07-07 21:30","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/japan-thailand-c6131","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-014.pdf","","","",""
",  Group C1","2017-07-08 18:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/netherlands-thailand-c6132","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-015.pdf","","","",""
",  Group C1","2017-07-09 21:30","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/thailand-dominican-republic-c6157","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-018.pdf","","","",""
",  Group D1","2017-07-14 13:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Sendai City Gymnasium, Sendai City Miyagi","https://women.volleybox.net/tr/sendai-city-gymnasium-a278/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/japan-thailand-c6190","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-020.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group D1","2017-07-15 11:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Sendai City Gymnasium, Sendai City Miyagi","https://women.volleybox.net/tr/sendai-city-gymnasium-a278/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/brazil-thailand-c6192","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-022.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group D1","2017-07-16 10:25","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Sendai City Gymnasium, Sendai City Miyagi","https://women.volleybox.net/tr/sendai-city-gymnasium-a278/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/serbia-thailand-c6194","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-024.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group H1","2017-07-21 14:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/thailand-dominican-republic-c6238","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-044.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
