"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","show_movies href","show_movies 2","show_predictions"
",  Group A","2019-08-03 21:30","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Hala Orbita, Wrocław","https://women.volleybox.net/tr/hala-orbita-a1497/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","2 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/thailand-poland-c176650","2 yıl önce önce  tarafından eklendi","J…e","","","",""
",  Group A","2019-08-04 18:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Hala Orbita, Wrocław","https://women.volleybox.net/tr/hala-orbita-a1497/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","1 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/puerto-rico-thailand-c176651","2 yıl önce önce  tarafından eklendi","J…e","","","",""
",  1st round - Group A","2020-01-07 14:00","Asya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-asian-olympic-qualification-2021-o9751/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","3 : 0","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/upload/teams/nt_flag_Chinese_Taipei.png","Çin Taipei","https://women.volleybox.net/tr/thailand-chinese-taipei-c22708","5 yıl önce önce  tarafından eklendi","Ngothanhtan","","","",""
",  1st round - Group A","2020-01-09 14:00","Asya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-asian-olympic-qualification-2021-o9751/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/australia-t676/matches","https://volleybox.net/media/img/light-px.png","Avustralya","https://women.volleybox.net/tr/thailand-australia-c22712","5 yıl önce önce  tarafından eklendi","Ngothanhtan","","","",""
",  semi-final","2020-01-11 14:00","Asya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-asian-olympic-qualification-2021-o9751/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/img/light-px.png","Kazakistan","https://women.volleybox.net/tr/thailand-kazakhstan-c26345","5 yıl önce önce  tarafından eklendi","S…k","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256234097","1",""
",  final","2020-01-13","Asya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-asian-olympic-qualification-2021-o9751/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/thailand-south-korea-c26447","5 yıl önce önce  tarafından eklendi","Airton Neto","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256234205","1",""
",  round robin - 1st round","2021-05-25 16:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/japan-thailand-c71708","4 yıl önce önce  tarafından eklendi","S…k","1","https://cdn5.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-4-Giappone-Thailandia-3-0.jpg","3","56"
",  round robin - 2nd round","2021-05-26 13:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/thailand-south-korea-c71709","4 yıl önce önce  tarafından eklendi","S…k","1","https://cdn7.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-10-Thailandia-Korea-1-3.jpg","3","63"
",  round robin - 3rd round","2021-05-27 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/china-thailand-c71710","4 yıl önce önce  tarafından eklendi","S…k","1","https://cdn8.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-21-Cina-Thailandia-3-0.jpg","2","64"
",  round robin - 4th round","2021-05-31 11:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/thailand-netherlands-c71711","4 yıl önce önce  tarafından eklendi","S…k","1","https://cdn7.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-25-Thailandia-Olanda-0-3.jpg","","67"
",  round robin - 5th round","2021-06-01 16:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/serbia-thailand-c71712","4 yıl önce önce  tarafından eklendi","S…k","1","https://cdn5.volleyball.it/wp-content/uploads/2021/06/WVNL2021-Match-36-Serbia-Thailandia-3-0.jpg","1","58"
",  round robin - 6th round","2021-06-02 13:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/thailand-usa-c71713","4 yıl önce önce  tarafından eklendi","S…k","1","https://cdn6.volleyball.it/wp-content/uploads/2021/06/WVNL2021-Match-42-Thailandia-USA-0-3.jpg","","57"
",  round robin - 7th round","2021-06-06 14:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/turkey-thailand-c71714","4 yıl önce önce  tarafından eklendi","S…k","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312125","","57"
",  round robin - 8th round","2021-06-07 11:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/russia-thailand-c71715","4 yıl önce önce  tarafından eklendi","S…k","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312202","1","57"
",  round robin - 9th round","2021-06-08 11:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/thailand-dominican-republic-c71716","4 yıl önce önce  tarafından eklendi","S…k","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312316","","55"
",  round robin - 10th round","2021-06-12 13:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/thailand-germany-c71717","4 yıl önce önce  tarafından eklendi","S…k","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256313548","","60"
",  round robin - 11th round","2021-06-13 20:30","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/thailand-poland-c71718","4 yıl önce önce  tarafından eklendi","S…k","","","","58"
",  round robin - 12nd round","2021-06-14 20:30","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/brazil-thailand-c71719","4 yıl önce önce  tarafından eklendi","S…k","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256313867","","58"
