"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","show_movies href","show_movies 2","connected_by","show_movies 3","rank_editor","rank_editor href","show_predictions","rank_user","rank_user href"
",  Regular Round","2022-05-16 07:00","Güneydoğu Asya Oyunları 2022","https://women.volleybox.net/tr/women-southeast-asian-games-2022-o20256/matches","Đại Yên Sports Arena, Quảng Ninh","https://women.volleybox.net/tr/i-yen-sports-arena-a4325/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","3 : 0","https://women.volleybox.net/tr/indonesia-t907/matches","https://volleybox.net/media/upload/teams/nt_flag_Indonesia.png","Endonezya","https://women.volleybox.net/tr/thailand-indonesia-c109659","1","https://women.volleybox.net/tr/frame/match_report/0/16300","1","3 yıl önce önce  tarafından eklendi","","","","","",""
",  Regular Round","2022-05-17 13:00","Güneydoğu Asya Oyunları 2022","https://women.volleybox.net/tr/women-southeast-asian-games-2022-o20256/matches","Đại Yên Sports Arena, Quảng Ninh","https://women.volleybox.net/tr/i-yen-sports-arena-a4325/matches","Vietnam","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/upload/teams/nt_flag_Vietnam.png","1 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/vietnam-thailand-c109661","1","https://women.volleybox.net/tr/frame/match_report/0/16309","","3 yıl önce önce  tarafından eklendi","","","","","",""
",  Regular Round","2022-05-18 10:00","Güneydoğu Asya Oyunları 2022","https://women.volleybox.net/tr/women-southeast-asian-games-2022-o20256/matches","Đại Yên Sports Arena, Quảng Ninh","https://women.volleybox.net/tr/i-yen-sports-arena-a4325/matches","Malezya","https://women.volleybox.net/tr/malaysia-t994/matches","https://volleybox.net/media/upload/teams/nt_flag_Malaysia.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/malaysia-thailand-c109662","1","https://women.volleybox.net/tr/frame/match_report/0/16340","","3 yıl önce önce  tarafından eklendi","","","","","",""
",  final","2022-05-22 13:00","Güneydoğu Asya Oyunları 2022","https://women.volleybox.net/tr/women-southeast-asian-games-2022-o20256/matches","Đại Yên Sports Arena, Quảng Ninh","https://women.volleybox.net/tr/i-yen-sports-arena-a4325/matches","Vietnam","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/vietnam-thailand-c114053","1","https://women.volleybox.net/tr/frame/match_report/0/16384","1","3 yıl önce önce  tarafından eklendi","2","sitenoise","https://women.volleybox.net/tr/user/sitenoise","","",""
",  1st round - Group B","2022-05-31 15:30","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/thailand-bulgaria-c109019","1","https://women.volleybox.net/tr/frame/match_report/0/16600","3","3 yıl önce önce  tarafından eklendi","8","","","50","S…k",""
",  1st round - Group B","2022-06-02 13:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/thailand-serbia-c100313","1","https://women.volleybox.net/tr/frame/match_report/0/16612","3","3 yıl önce önce  tarafından eklendi","4","","","58","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  1st round - Group B","2022-06-04 13:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/thailand-belgium-c100319","1","https://women.volleybox.net/tr/frame/match_report/0/16630","3","3 yıl önce önce  tarafından eklendi","4","","","63","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  1st round - Group B","2022-06-05 16:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/thailand-china-c100322","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256507116","2","3 yıl önce önce  tarafından eklendi","1","","","65","atilberk","https://women.volleybox.net/tr/user/atilberk"
",","2022-06-10 19:00","dostluk maçı 2021/22","https://women.volleybox.net/tr/women-friendly-match-2021-22-o21986/matches","Playtime Filoil Centre, San Juan","https://women.volleybox.net/tr/filoil-ecooil-centre-a1601/matches","Filipinler","https://women.volleybox.net/tr/philippines-t1111/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/philippines-thailand-c289372","","","","3 ay önce önce  tarafından eklendi","","","","","",""
",  2nd round - Group B","2022-06-14 10:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Mall of Asia Arena, Manila","https://women.volleybox.net/tr/mall-of-asia-arena-a708/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/canada-thailand-c100373","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510143","3","3 yıl önce önce  tarafından eklendi","","","","75","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  2nd round - Group B","2022-06-16 06:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Mall of Asia Arena, Manila","https://women.volleybox.net/tr/mall-of-asia-arena-a708/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/poland-thailand-c100377","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256509936","4","3 yıl önce önce  tarafından eklendi","","","","70","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  2nd round - Group B","2022-06-17 14:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Mall of Asia Arena, Manila","https://women.volleybox.net/tr/mall-of-asia-arena-a708/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/japan-thailand-c100381","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510277","4","3 yıl önce önce  tarafından eklendi","2","","","70","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  2nd round - Group B","2022-06-19 10:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Mall of Asia Arena, Manila","https://women.volleybox.net/tr/mall-of-asia-arena-a708/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/thailand-usa-c100387","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510577","2","3 yıl önce önce  tarafından eklendi","3","","","65","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  3rd round - Group B","2022-06-29 17:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Armeec Arena, Sofia","https://women.volleybox.net/tr/armeec-arena-a42/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/thailand-south-korea-c114651","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256512142","2","3 yıl önce önce  tarafından eklendi","2","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi","67","",""
",  3rd round - Group B","2022-06-30 13:30","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Armeec Arena, Sofia","https://women.volleybox.net/tr/armeec-arena-a42/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/thailand-dominican-republic-c114653","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256512663","2","3 yıl önce önce  tarafından eklendi","2","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi","67","",""
",  3rd round - Group B","2022-07-02 16:30","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Armeec Arena, Sofia","https://women.volleybox.net/tr/armeec-arena-a42/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/brazil-thailand-c114660","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256513871","2","3 yıl önce önce  tarafından eklendi","2","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi","67","",""
