"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_editor","rank_editor href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","rank_moderator","rank_moderator href"
",  Group A","2023-05-10 10:30","Güneydoğu Asya Oyunları 2023","https://women.volleybox.net/tr/women-southeast-asian-games-2023-o24252/matches","Morodok Techo Elephant Hall, Phonm Penh","https://women.volleybox.net/tr/morodok-techo-elephant-hall-a6081/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","3 : 0","https://women.volleybox.net/tr/myanmar-t1045/matches","https://volleybox.net/media/upload/teams/nt_flag_Myanmar.png","Myanmar","https://women.volleybox.net/tr/thailand-indonesia-c166204","2 yıl önce önce  tarafından eklendi","","","","","","","","",""
",  Group A","2023-05-11 10:30","Güneydoğu Asya Oyunları 2023","https://women.volleybox.net/tr/women-southeast-asian-games-2023-o24252/matches","Morodok Techo Elephant Hall, Phonm Penh","https://women.volleybox.net/tr/morodok-techo-elephant-hall-a6081/matches","Malezya","https://women.volleybox.net/tr/malaysia-t994/matches","https://volleybox.net/media/upload/teams/nt_flag_Malaysia.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/myanmar-thailand-c166208","2 yıl önce önce  tarafından eklendi","","","","","","","","",""
",  semi-final","2023-05-13 13:00","Güneydoğu Asya Oyunları 2023","https://women.volleybox.net/tr/women-southeast-asian-games-2023-o24252/matches","Olympic Complex Indoor, Phnom Penh","https://women.volleybox.net/tr/olympic-complex-indoor-a6163/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","3 : 0","https://women.volleybox.net/tr/philippines-t1111/matches","https://volleybox.net/media/upload/teams/nt_flag_Philippines.png","Filipinler","https://women.volleybox.net/tr/thailand-philippines-c172509","2 yıl önce önce  tarafından eklendi","Jake","https://women.volleybox.net/tr/user/flora_02","","","","","","",""
",  final","2023-05-14 15:30","Güneydoğu Asya Oyunları 2023","https://women.volleybox.net/tr/women-southeast-asian-games-2023-o24252/matches","Olympic Complex Indoor, Phnom Penh","https://women.volleybox.net/tr/olympic-complex-indoor-a6163/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/img/light-px.png","Vietnam","https://women.volleybox.net/tr/thailand-vietnam-c172637","2 yıl önce önce  tarafından eklendi","Jake","https://women.volleybox.net/tr/user/flora_02","","","","","","",""
",  Week One","2023-05-30 17:00","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Antalya Spor Salonu, Antalya","https://women.volleybox.net/tr/antalya-spor-salonu-a1227/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/italy-thailand-c170895","2 yıl önce önce  tarafından eklendi","","","131","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256566103","1","8","avid","https://women.volleybox.net/tr/user/avid"
",  Week One","2023-06-01 14:00","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Antalya Spor Salonu, Antalya","https://women.volleybox.net/tr/antalya-spor-salonu-a1227/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/canada-thailand-c170904","2 yıl önce önce  tarafından eklendi","","","128","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256566397","1","4","avid","https://women.volleybox.net/tr/user/avid"
",  Week One","2023-06-02 14:00","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Antalya Spor Salonu, Antalya","https://women.volleybox.net/tr/antalya-spor-salonu-a1227/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/thailand-poland-c170910","2 yıl önce önce  tarafından eklendi","","","126","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256566562","1","2","avid","https://women.volleybox.net/tr/user/avid"
",  Week One","2023-06-04 14:00","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Antalya Spor Salonu, Antalya","https://women.volleybox.net/tr/antalya-spor-salonu-a1227/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/thailand-south-korea-c170922","2 yıl önce önce  tarafından eklendi","","","122","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256566815","1","1","avid","https://women.volleybox.net/tr/user/avid"
",  Week Two","2023-06-14 23:30","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/germany-thailand-c170931","2 yıl önce önce  tarafından eklendi","","","142","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256570263","2","2","avid","https://women.volleybox.net/tr/user/avid"
",  Week Two","2023-06-15 20:00","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/thailand-usa-c170936","2 yıl önce önce  tarafından eklendi","","","134","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256570822","1","2","avid","https://women.volleybox.net/tr/user/avid"
