"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","connected_by","rank_newbie","rank_newbie href","show_movies 2","rank_moderator","rank_moderator href"
",  Week One","2025-06-05 11:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","National Indoor Stadium, Beijing","https://women.volleybox.net/tr/national-indoor-stadium-a8707/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/upload/teams/nt_flag_Belgium.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/belgium-thailand-c267578","105","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256750521.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250605%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250605T095500Z&X-Amz-SignedHeaders=host&X-Amz-Signature=948cb3b9952fa0fcad6b052deb1e02a7fdd3c776ab0079de951bcb386b439508","6 ay önce önce  tarafından eklendi","Iran Chen","https://women.volleybox.net/tr/user/Ar-Ian","","",""
",  Week One","2025-06-06 14:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","National Indoor Stadium, Beijing","https://women.volleybox.net/tr/national-indoor-stadium-a8707/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/turkey-thailand-c267586","105","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256751867.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250606%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250606T194115Z&X-Amz-SignedHeaders=host&X-Amz-Signature=01d1d521c7b1a68b8b7df5e0fe24c264ee9dd37f5ef7876bf93c505931a57b2b","6 ay önce önce  tarafından eklendi","Iran Chen","https://women.volleybox.net/tr/user/Ar-Ian","2","",""
",  Week One","2025-06-08 10:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","National Indoor Stadium, Beijing","https://women.volleybox.net/tr/national-indoor-stadium-a8707/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/upload/teams/nt_flag_France.png","1 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/france-thailand-c267595","98","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256753426.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250608%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250608T104253Z&X-Amz-SignedHeaders=host&X-Amz-Signature=7e2bd53bb95b951d33026978fca89db99965c98e1096d120d7150dc674fd81de","6 ay önce önce  tarafından eklendi","Iran Chen","https://women.volleybox.net/tr/user/Ar-Ian","1","",""
",  Week Two","2025-06-18 12:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","0 : 0","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","Japonya","https://women.volleybox.net/tr/thailand-japan-c300073","59","","","2 gün önce önce  tarafından eklendi","Michał","https://women.volleybox.net/tr/user/michal9408","","",""
",  Week Two","2025-06-19 12:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","0 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/thailand-italy-c300082","44","","","2 gün önce önce  tarafından eklendi","Michał","https://women.volleybox.net/tr/user/michal9408","","",""
",  Week Two","2025-06-21 11:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","0 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/czech-republic-thailand-c300093","29","","","2 gün önce önce  tarafından eklendi","Michał","https://women.volleybox.net/tr/user/michal9408","","",""
",  Week Two","2025-06-22 08:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","0 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/bulgaria-thailand-c300114","25","","","1 gün önce önce  tarafından eklendi","Michał","https://women.volleybox.net/tr/user/michal9408","","",""
",  Group A","2025-08-22 16:30","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","0 : 0","https://women.volleybox.net/tr/egypt-t811/matches","https://volleybox.net/media/upload/teams/nt_flag_Egypt.png","Mısır","https://women.volleybox.net/tr/thailand-egypt-c289058","12","","","3 ay önce önce  tarafından eklendi","","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
",  Group A","2025-08-24 16:30","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","0 : 0","https://women.volleybox.net/tr/sweden-t1198/matches","https://volleybox.net/media/upload/teams/nt_flag_Sweden.png","İsveç","https://women.volleybox.net/tr/thailand-sweden-c289080","8","","","3 ay önce önce  tarafından eklendi","","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
",  Group A","2025-08-26 16:30","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","0 : 0","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","Hollanda","https://women.volleybox.net/tr/thailand-netherlands-c289096","8","","","3 ay önce önce  tarafından eklendi","","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
