"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","show_movies href","show_movies 2","connected_by","rank_user","rank_user href","rank_newbie","rank_newbie href"
",  Group C","2015-07-04 15:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","1 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/turkey-usa-c522","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-016.pdf","1","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","",""
",  Group C","2015-07-05 12:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/upload/teams/nt_flag_Belgium.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/belgium-usa-c31346","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-017.pdf","","5 yıl önce önce  tarafından eklendi","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group F","2015-07-10 15:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/russia-usa-c530","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-032.pdf","1","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","",""
",  Group F","2015-07-11 12:40","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/usa-turkey-c31362","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-033.pdf","","5 yıl önce önce  tarafından eklendi","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group F","2015-07-12 12:40","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/serbia-usa-c540","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-035.pdf","1","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group B","2015-07-16 01:00","Pan Amerikan Oyunları 2015","https://women.volleybox.net/tr/women-pan-american-games-2015-o997/matches","Ricoh Coliseum Hall, Toronto","https://women.volleybox.net/tr/ricoh-coliseum-hall-a93/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/usa-peru-c68370","1","http://www.norceca.net/2015%20Events/TOROTO%202015/Volleyballl/P%202-3/P2%20WOMEN%20MATCH%204%20USA%20VS%20PER.pdf","","4 yıl önce önce  tarafından eklendi","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group H","2015-07-16 14:30","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/japan-usa-c551","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-043.pdf","3","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","",""
",  Group H","2015-07-17 14:30","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/thailand-usa-c558","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-045.pdf","","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","",""
",  Group B","2015-07-18 01:00","Pan Amerikan Oyunları 2015","https://women.volleybox.net/tr/women-pan-american-games-2015-o997/matches","Ricoh Coliseum Hall, Toronto","https://women.volleybox.net/tr/ricoh-coliseum-hall-a93/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/usa-puerto-rico-c68371","1","http://www.norceca.net/2015%20Events/TOROTO%202015/Volleyballl/P%202-3/Women/P2%20WOMEN%20MATCH%208%20USA%20PUR.pdf","","4 yıl önce önce  tarafından eklendi","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group H","2015-07-18 15:30","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/china-usa-c565","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-048.pdf","","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","",""
