"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","connected_by","rank_user","rank_user href","rank_newbie","rank_newbie href","rank_moderator","rank_moderator href"
",  Week One","2025-06-06 03:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/upload/teams/nt_flag_Brazil.png","Brezilya","https://women.volleybox.net/tr/usa-brazil-c281475","110","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256751221.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250606%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250606T052400Z&X-Amz-SignedHeaders=host&X-Amz-Signature=4d73ff94fae3a1e1d86fc929b2ee8f999648b7847728b51102b76e76a04b537e","1","4 ay önce önce  tarafından eklendi","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","",""
",  Week One","2025-06-07 03:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","3 : 2","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/czech-republic-usa-c281477","102","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256752252.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250607%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250607T030411Z&X-Amz-SignedHeaders=host&X-Amz-Signature=b2bb75f411605a2551d449b6ba1fe23330228c4b3164aab11310442f59b6d721","","4 ay önce önce  tarafından eklendi","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","",""
",  Week One","2025-06-08 23:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/south-korea-usa-c281481","105","","","1","4 ay önce önce  tarafından eklendi","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","",""
",  Week Two","2025-06-18 21:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/serbia-usa-c300081","42","","","","1 gün önce önce  tarafından eklendi","","","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-19 17:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/usa-poland-c300085","29","","","","1 gün önce önce  tarafından eklendi","","","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-21 17:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/netherlands-usa-c300096","24","","","","1 gün önce önce  tarafından eklendi","","","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-22 17:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/france-usa-c300120","15","","","","22 saat önce önce  tarafından eklendi","","","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Group D","2025-08-22 15:30","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/slovenia-t1174/matches","https://volleybox.net/media/img/light-px.png","Slovenya","https://women.volleybox.net/tr/usa-slovenia-c289055","11","","","","3 ay önce önce  tarafından eklendi","","","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
",  Group D","2025-08-24 15:30","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/usa-argentina-c289078","8","","","","3 ay önce önce  tarafından eklendi","","","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
",  Group D","2025-08-26 15:30","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/usa-czech-republic-c289094","8","","","","3 ay önce önce  tarafından eklendi","","","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
