"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","show_movies href","connected_by","rank_user","rank_user href","rank_newbie","rank_newbie href","show_movies 2"
",  Group A","2015-07-04 10:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/upload/teams/nt_flag_Brazil.png","3 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/brazil-serbia-c521","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-003.pdf","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","","",""
",  Group A","2015-07-05 12:30","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/upload/teams/nt_flag_Brazil.png","Brezilya","https://women.volleybox.net/tr/thailand-brazil-c520","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-006.pdf","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","","",""
",  Group D","2015-07-10 10:05","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Ginásio do Ibirapuera, Sao Paolo","https://women.volleybox.net/tr/ginasio-do-ibirapuera-a80/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/brazil-belgium-c31348","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-019.pdf","5 yıl önce önce  tarafından eklendi","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop",""
",  Group D","2015-07-11 06:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Ginásio do Ibirapuera, Sao Paolo","https://women.volleybox.net/tr/ginasio-do-ibirapuera-a80/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/brazil-thailand-c534","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-021.pdf","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","","","1"
",  Group D","2015-07-12 06:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Ginásio do Ibirapuera, Sao Paolo","https://women.volleybox.net/tr/ginasio-do-ibirapuera-a80/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/brazil-germany-c538","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-023.pdf","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","","",""
",  Group B","2015-07-16 01:00","Pan Amerikan Oyunları 2015","https://women.volleybox.net/tr/women-pan-american-games-2015-o997/matches","Ricoh Coliseum Hall, Toronto","https://women.volleybox.net/tr/ricoh-coliseum-hall-a93/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/brazil-puerto-rico-c611","1","http://www.norceca.net/2015%20Events/TOROTO%202015/Volleyballl/P%202-3/P2%20WOMEN%20MATCH%201%20BRA%20VS%20PUR.pdf","9 yıl önce önce  tarafından eklendi","mvs","https://women.volleybox.net/tr/user/mvs","","",""
",  Group G","2015-07-16 13:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Pala Catania, Catania","https://women.volleybox.net/tr/pala-catania-a529/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/russia-brazil-c570","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-037.pdf","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","","",""
",  Group G","2015-07-17 13:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Pala Catania, Catania","https://women.volleybox.net/tr/pala-catania-a529/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/brazil-belgium-c31368","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-039.pdf","5 yıl önce önce  tarafından eklendi","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop",""
",  Group B","2015-07-18 01:00","Pan Amerikan Oyunları 2015","https://women.volleybox.net/tr/women-pan-american-games-2015-o997/matches","Ricoh Coliseum Hall, Toronto","https://women.volleybox.net/tr/ricoh-coliseum-hall-a93/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/brazil-peru-c613","1","http://www.norceca.net/2015%20Events/TOROTO%202015/Volleyballl/P%202-3/Women/P2%20WOMEN%20MATCH%205%20BRA%20VS%20PER.PDF","9 yıl önce önce  tarafından eklendi","mvs","https://women.volleybox.net/tr/user/mvs","","",""
",  Group G","2015-07-18 16:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Pala Catania, Catania","https://women.volleybox.net/tr/pala-catania-a529/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/italy-brazil-c567","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-042.pdf","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","","","2"
