"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","score","tooltip_item href 2","guest","btn-add-review href","connected_by","rank_user","show_predictions","show_movies","show_movies href","show_movies 2","rank_editor","rank_editor href"
",  Group D","2019-08-02 20:15","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Sabiazinho, Uberlândia","https://women.volleybox.net/tr/sabiazinho-a85/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","3 : 2","https://women.volleybox.net/tr/azerbaijan-t682/matches","Azerbaycan","https://women.volleybox.net/tr/brazil-azerbaijan-c176667","2 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  Group D","2019-08-03 16:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Sabiazinho, Uberlândia","https://women.volleybox.net/tr/sabiazinho-a85/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","3 : 2","https://women.volleybox.net/tr/dominican-republic-t805/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/brazil-dominican-republic-c176669","2 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  round robin - 1st round","2021-05-25 22:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","Kanada","https://women.volleybox.net/tr/brazil-canada-c69062","4 yıl önce önce  tarafından eklendi","","68","1","https://cdn5.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-8-Brasiloe-canada-3-1.jpg","1","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou"
",  round robin - 2nd round","2021-05-26 19:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","3 : 0","https://women.volleybox.net/tr/dominican-republic-t805/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/brazil-dominican-republic-c69073","4 yıl önce önce  tarafından eklendi","","65","1","https://cdn5.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-14-Brasile-Dominicana-3-0.jpg","2","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou"
",  round robin - 3rd round","2021-05-27 20:30","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","1 : 3","https://women.volleybox.net/tr/usa-t1255/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/brazil-usa-c69089","4 yıl önce önce  tarafından eklendi","","64","1","https://cdn8.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-23-Brasile-USA-1-3.jpg","1","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou"
",  round robin - 4th round","2021-05-31 16:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","3 : 0","https://women.volleybox.net/tr/japan-t928/matches","Japonya","https://women.volleybox.net/tr/brazil-japan-c70040","4 yıl önce önce  tarafından eklendi","S…k","64","1","https://cdn8.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-28-Brasile-Giappone-3-0.jpg","1","",""
",  round robin - 5th round","2021-06-01 22:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","Rusya","https://women.volleybox.net/tr/brazil-russia-c70052","4 yıl önce önce  tarafından eklendi","S…k","57","1","https://cdn6.volleyball.it/wp-content/uploads/2021/06/WVNL2021-Match-40-Brasile-Russia-3-0.jpg","","",""
",  round robin - 6th round","2021-06-02 22:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","3 : 1","https://women.volleybox.net/tr/italy-t922/matches","İtalya","https://women.volleybox.net/tr/brazil-italy-c70060","4 yıl önce önce  tarafından eklendi","S…k","54","1","https://cdn9.volleyball.it/wp-content/uploads/2021/06/WVNL2021-Match-48-BRASILE-ITALIA-3-1.jpg","","",""
",  round robin - 7th round","2021-06-06 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","3 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","Sırbistan","https://women.volleybox.net/tr/brazil-serbia-c70064","4 yıl önce önce  tarafından eklendi","S…k","58","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312138","","",""
",  round robin - 8th round","2021-06-07 22:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","Brezilya","https://women.volleybox.net/tr/belgium-brazil-c70076","4 yıl önce önce  tarafından eklendi","S…k","58","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312289","","",""
",  round robin - 9th round","2021-06-08 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","3 : 2","https://women.volleybox.net/tr/brazil-t724/matches","Brezilya","https://women.volleybox.net/tr/china-brazil-c70081","4 yıl önce önce  tarafından eklendi","S…k","53","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312360","2","",""
",  round robin - 10th round","2021-06-12 22:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","Brezilya","https://women.volleybox.net/tr/poland-brazil-c70092","4 yıl önce önce  tarafından eklendi","S…k","57","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256313633","","",""
",  round robin - 11th round","2021-06-13 22:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","1 : 3","https://women.volleybox.net/tr/brazil-t724/matches","Brezilya","https://women.volleybox.net/tr/germany-brazil-c70100","4 yıl önce önce  tarafından eklendi","S…k","58","","","","",""
",  round robin - 12nd round","2021-06-14 20:30","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","Tayland","https://women.volleybox.net/tr/brazil-thailand-c71719","4 yıl önce önce  tarafından eklendi","S…k","58","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256313867","","",""
",  round robin - 13rd round","2021-06-18 16:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","Brezilya","https://women.volleybox.net/tr/south-korea-brazil-c70114","4 yıl önce önce  tarafından eklendi","S…k","58","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256314213","","",""
",  round robin - 14th round","2021-06-19 20:30","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","3 : 0","https://women.volleybox.net/tr/netherlands-t1057/matches","Hollanda","https://women.volleybox.net/tr/brazil-netherlands-c70125","4 yıl önce önce  tarafından eklendi","S…k","54","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256314302","","",""
