"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","connected_by","rank_user","rank_user href","rank_newbie","rank_newbie href","rank_moderator","rank_moderator href"
",  Week One","2025-06-06 03:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/upload/teams/nt_flag_Brazil.png","Brezilya","https://women.volleybox.net/tr/usa-brazil-c281475","110","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256751221.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250606%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250606T052400Z&X-Amz-SignedHeaders=host&X-Amz-Signature=4d73ff94fae3a1e1d86fc929b2ee8f999648b7847728b51102b76e76a04b537e","1","4 ay önce önce  tarafından eklendi","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","",""
",  Week One","2025-06-07 19:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","2 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/upload/teams/nt_flag_Brazil.png","Brezilya","https://women.volleybox.net/tr/germany-brazil-c281478","103","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256753215.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250608%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250608T095412Z&X-Amz-SignedHeaders=host&X-Amz-Signature=6bb9e9914880df32cbf8029f9b82c97a3aec017cf42653c60d2fc4959bd4dbd0","","4 ay önce önce  tarafından eklendi","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","",""
",  Week One","2025-06-08 16:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/brazil-italy-c281480","106","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256753667.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250608%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250608T215200Z&X-Amz-SignedHeaders=host&X-Amz-Signature=0dfc9ca8ba1e6228bbd7b7ba99f0725f42dd6696f8e3bcafeda932a9f6f2131e","3","4 ay önce önce  tarafından eklendi","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","",""
",  Week Two","2025-06-18 16:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Sinan Erdem Spor Salonu, Istanbul","https://women.volleybox.net/tr/sinan-erdem-spor-salonu-a7302/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/belgium-brazil-c300079","51","","","","2 gün önce önce  tarafından eklendi","","","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-20 19:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Sinan Erdem Spor Salonu, Istanbul","https://women.volleybox.net/tr/sinan-erdem-spor-salonu-a7302/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/canada-brazil-c300091","28","","","","2 gün önce önce  tarafından eklendi","","","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-21 16:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Sinan Erdem Spor Salonu, Istanbul","https://women.volleybox.net/tr/sinan-erdem-spor-salonu-a7302/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/dominican-republic-brazil-c300095","27","","","","2 gün önce önce  tarafından eklendi","","","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-22 19:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Sinan Erdem Spor Salonu, Istanbul","https://women.volleybox.net/tr/sinan-erdem-spor-salonu-a7302/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/turkey-brazil-c300057","29","","","","2 gün önce önce  tarafından eklendi","Norwen","https://women.volleybox.net/tr/user/Norwen","","","",""
",  Group C","2025-08-22 15:30","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Chiang Mai Gymnasium 1, Chiang Mai","https://women.volleybox.net/tr/chiang-mai-gymnasium-1-a6422/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/greece-t862/matches","https://volleybox.net/media/img/light-px.png","Yunanistan","https://women.volleybox.net/tr/brazil-greece-c289057","11","","","","3 ay önce önce  tarafından eklendi","","","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
",  Group C","2025-08-24 15:30","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Chiang Mai Gymnasium 1, Chiang Mai","https://women.volleybox.net/tr/chiang-mai-gymnasium-1-a6422/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","Fransa","https://women.volleybox.net/tr/brazil-france-c289079","8","","","","3 ay önce önce  tarafından eklendi","","","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
",  Group C","2025-08-26 15:30","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Chiang Mai Gymnasium 1, Chiang Mai","https://women.volleybox.net/tr/chiang-mai-gymnasium-1-a6422/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/brazil-puerto-rico-c289095","7","","","","3 ay önce önce  tarafından eklendi","","","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
