"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_newbie","rank_newbie href","show_movies"
",  Group C","2014-08-01 13:30","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","PalaSerradimigni, Sassari","https://women.volleybox.net/tr/palaserradimigni-a245/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/upload/teams/nt_flag_Brazil.png","3 : 1","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","Çin","https://women.volleybox.net/tr/brazil-china-c31519","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop",""
",  Group C","2014-08-02 13:40","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","PalaSerradimigni, Sassari","https://women.volleybox.net/tr/palaserradimigni-a245/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","3 : 0","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/china-dominican-republic-c31521","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop",""
",  Group C","2014-08-03 16:10","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","PalaSerradimigni, Sassari","https://women.volleybox.net/tr/palaserradimigni-a245/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","3 : 2","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","Çin","https://women.volleybox.net/tr/italy-china-c31524","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop",""
",  Group F","2014-08-08 16:30","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/china-thailand-c31538","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop",""
",  Group F","2014-08-09 11:45","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/china-japan-c31540","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop",""
",  Group F","2014-08-10 11:45","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/china-italy-c31542","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop",""
",  Group I","2014-08-15 16:30","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/china-south-korea-c31556","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop",""
",  Group I","2014-08-16 13:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/china-serbia-c31558","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop",""
",  Group I","2014-08-17 11:30","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/china-japan-c31560","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop",""
",  Final Round","2014-08-20 08:20","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Ariake Coliseum, Koto Ward Tokyo","https://women.volleybox.net/tr/ariake-coliseum-a3358/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/china-belgium-c31561","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop",""
",  Final Round","2014-08-21 11:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Ariake Coliseum, Koto Ward Tokyo","https://women.volleybox.net/tr/ariake-coliseum-a3358/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/brazil-china-c31565","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop",""
