"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_movies","show_movies 2","show_movies href","rank_newbie","rank_newbie href"
",  Group A1","2016-06-11 14:30","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","Almanya","https://women.volleybox.net/tr/china-germany-c3278","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","","","","",""
",  Group A1","2016-06-12 14:30","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","3 : 1","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/china-usa-c3280","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","3","","","",""
",  Group D1","2016-06-17 15:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","3 : 0","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/upload/teams/nt_flag_Belgium.png","Belçika","https://women.volleybox.net/tr/china-belgium-c3330","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","","","","",""
",  Group D1","2016-06-18 12:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/china-serbia-c3332","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","","","","",""
",  Group D1","2016-06-19 10:30","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/china-brazil-c3334","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","","","","",""
",  Group H1","2016-06-24 15:30","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/china-netherlands-c3366","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","","","","",""
",  Group H1","2016-06-25 10:45","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/china-germany-c3368","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","","","","",""
",  Group H1","2016-06-26 10:45","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/china-usa-c3370","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","","","","",""
",  Group K1","2016-07-07 11:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/china-netherlands-c3399","8 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","2","","","",""
",  Group K1","2016-07-08 11:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/usa-china-c3400","8 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","2","","","",""
