"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","connected_by","rank_user","rank_user href","show_movies 4"
",  Group A","2023-09-17 14:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","3 : 0","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/upload/teams/nt_flag_Mexico.png","Meksika","https://women.volleybox.net/tr/china-mexico-c190929","81","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256623842","1","2","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14",""
",  Group A","2023-09-19 14:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/china-czech-republic-c190933","81","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624288","1","1","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14",""
",  Group A","2023-09-20 14:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/china-canada-c190937","80","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624637","1","1","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14",""
",  Group A","2023-09-22 14:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/china-netherlands-c190941","81","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256625707","1","2","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14",""
",  Group A","2023-09-23 14:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/china-dominican-republic-c190945","81","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626187","1","1","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14",""
",  Group A","2023-09-24 14:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/china-serbia-c190949","85","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626482","1","2","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14",""
",  Week One","2024-05-14 23:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/china-south-korea-c215131","128","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256659142","1","4","1 yıl önce önce  tarafından eklendi","I…Y","",""
",  Week One","2024-05-14 23:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/china-south-korea-c232251","","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256659142","1","1","1 yıl önce önce  tarafından eklendi","","","3"
",  Week One","2024-05-16 23:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/china-usa-c215141","134","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256659939","2","1","1 yıl önce önce  tarafından eklendi","I…Y","","1"
",  Week One","2024-05-17 23:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/china-canada-c215147","134","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256660850","1","1","1 yıl önce önce  tarafından eklendi","I…Y","","3"
