"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","connected_by","rank_newbie","rank_newbie href","rank_moderator","rank_moderator href"
",  Week One","2025-06-05 14:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","National Indoor Stadium, Beijing","https://women.volleybox.net/tr/national-indoor-stadium-a8707/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","1 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/china-poland-c267581","104","1","https://x.com/PolskaSiatkowka/status/1930600216232862171","6 ay önce önce  tarafından eklendi","Iran Chen","https://women.volleybox.net/tr/user/Ar-Ian","",""
",  Week One","2025-06-07 14:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","National Indoor Stadium, Beijing","https://women.volleybox.net/tr/national-indoor-stadium-a8707/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","3 : 0","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/upload/teams/nt_flag_France.png","Fransa","https://women.volleybox.net/tr/china-france-c267591","101","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256752852.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250607%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250607T152208Z&X-Amz-SignedHeaders=host&X-Amz-Signature=5948c1bf4a51d78b39c981056b7a4180d3d964924bd38901d0a79966715bbd09","6 ay önce önce  tarafından eklendi","Iran Chen","https://women.volleybox.net/tr/user/Ar-Ian","",""
",  Week One","2025-06-08 14:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","National Indoor Stadium, Beijing","https://women.volleybox.net/tr/national-indoor-stadium-a8707/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/china-turkey-c267596","104","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256753678","6 ay önce önce  tarafından eklendi","Iran Chen","https://women.volleybox.net/tr/user/Ar-Ian","",""
",  Week Two","2025-06-18 15:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/czech-republic-china-c300078","48","","","2 gün önce önce  tarafından eklendi","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-19 15:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/bulgaria-china-c300083","32","","","1 gün önce önce  tarafından eklendi","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-21 15:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/japan-china-c300094","25","","","1 gün önce önce  tarafından eklendi","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-22 15:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/china-italy-c300118","17","","","1 gün önce önce  tarafından eklendi","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Group F","2025-08-23 15:30","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Chiang Mai Gymnasium 1, Chiang Mai","https://women.volleybox.net/tr/chiang-mai-gymnasium-1-a6422/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","Meksika","https://women.volleybox.net/tr/china-mexico-c289068","11","","","3 ay önce önce  tarafından eklendi","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
",  Group F","2025-08-25 15:30","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Chiang Mai Gymnasium 1, Chiang Mai","https://women.volleybox.net/tr/chiang-mai-gymnasium-1-a6422/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/china-colombia-c289087","8","","","3 ay önce önce  tarafından eklendi","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
",  Group F","2025-08-27 15:30","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Chiang Mai Gymnasium 1, Chiang Mai","https://women.volleybox.net/tr/chiang-mai-gymnasium-1-a6422/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/china-dominican-republic-c289103","7","","","3 ay önce önce  tarafından eklendi","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
