"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_predictions","show_movies","show_movies href","show_movies 3"
",  Group B","2018-05-19","NORCECA Challenger Cup Qualification 2018","https://women.volleybox.net/tr/women-norceca-challenger-cup-qualification-2018-o10469/matches","Edmonton Expo Centre, Edmonton","https://women.volleybox.net/tr/edmonton-expo-centre-a5586/matches","Nikaragua","https://women.volleybox.net/tr/nicaragua-t1069/matches","https://volleybox.net/media/upload/teams/nt_flag_Nicaragua.png","0 : 3","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","Küba","https://women.volleybox.net/tr/nicaragua-cuba-c148655","2 yıl önce önce  tarafından eklendi","B…2","","","","",""
",  Group B","2018-05-20","NORCECA Challenger Cup Qualification 2018","https://women.volleybox.net/tr/women-norceca-challenger-cup-qualification-2018-o10469/matches","Edmonton Expo Centre, Edmonton","https://women.volleybox.net/tr/edmonton-expo-centre-a5586/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","0 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","Porto Riko","https://women.volleybox.net/tr/cuba-puerto-rico-c148656","2 yıl önce önce  tarafından eklendi","B…2","","","","",""
",  3rd place match","2018-05-21","NORCECA Challenger Cup Qualification 2018","https://women.volleybox.net/tr/women-norceca-challenger-cup-qualification-2018-o10469/matches","Edmonton Expo Centre, Edmonton","https://women.volleybox.net/tr/edmonton-expo-centre-a5586/matches","Trinidad ve Tobago","https://women.volleybox.net/tr/trinidad-and-tobago-t1225/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/trinidad-and-tobago-cuba-c148657","2 yıl önce önce  tarafından eklendi","B…2","","","","",""
",  Group B","2018-07-09 01:00","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/puerto-rico-cuba-c10267","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","","","",""
",  Group B","2018-07-10","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/cuba-usa-c10274","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","","","",""
",  Group B","2018-07-10 19:00","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/trinidad-and-tobago-t1225/matches","https://volleybox.net/media/img/light-px.png","Trinidad ve Tobago","https://women.volleybox.net/tr/cuba-trinidad-and-tobago-c10284","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","","","",""
",  5-8 places","2018-07-12 19:00","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/cuba-colombia-c10312","6 yıl önce önce  tarafından eklendi","","","","","",""
",  7th place match","2018-07-14 19:00","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/cuba-peru-c10317","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","","","",""
",  Group B","2018-09-29 13:20","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Hokkaido Sports Center, Sapporo","https://women.volleybox.net/tr/hokkaido-sports-center-a277/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/china-cuba-c9741","7 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","11","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256121135","1"
",  Group B","2018-09-30 10:10","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Hokkaido Sports Center, Sapporo","https://women.volleybox.net/tr/hokkaido-sports-center-a277/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/cuba-bulgaria-c9749","7 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","10","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256121236","1"
