"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_moderator","rank_moderator href","show_predictions"
",  Round Robin","2022-06-19 06:30","NORCECA Challenger Cup Qualification 2023","https://women.volleybox.net/tr/women-norceca-challenger-cup-qualification-2023-o25320/matches","Gimnasio Carlos Hernández Carrera, Nogales","https://women.volleybox.net/tr/gimnasio-carlos-hernandez-carrera-a4551/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/upload/teams/nt_flag_Mexico.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","Küba","https://women.volleybox.net/tr/mexico-cuba-c120531","2 yıl önce önce  tarafından eklendi","","",""
",  Round Robin","2022-06-20 04:30","NORCECA Challenger Cup Qualification 2023","https://women.volleybox.net/tr/women-norceca-challenger-cup-qualification-2023-o25320/matches","Gimnasio Carlos Hernández Carrera, Nogales","https://women.volleybox.net/tr/gimnasio-carlos-hernandez-carrera-a4551/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","3 : 0","https://women.volleybox.net/tr/costa-rica-t778/matches","https://volleybox.net/media/upload/teams/nt_flag_Costa_Rica.png","Kosta Rika","https://women.volleybox.net/tr/cuba-costa-rica-c120534","2 yıl önce önce  tarafından eklendi","","",""
",  Group B","2023-07-05 02:00","Orta Amerika ve Karayip Oyunları 2023","https://women.volleybox.net/tr/women-central-american-and-caribbean-games-2023-o25638/matches","Palacio de los Deportes Carlos El Famoso Hernández, San Salvador","https://women.volleybox.net/tr/palacio-de-los-deportes-carlos-el-famoso-hernandez-a6388/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","3 : 1","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","Küba","https://women.volleybox.net/tr/colombia-cuba-c178205","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid",""
",  Group B","2023-07-06 05:00","Orta Amerika ve Karayip Oyunları 2023","https://women.volleybox.net/tr/women-central-american-and-caribbean-games-2023-o25638/matches","Palacio de los Deportes Carlos El Famoso Hernández, San Salvador","https://women.volleybox.net/tr/palacio-de-los-deportes-carlos-el-famoso-hernandez-a6388/matches","El Salvador","https://women.volleybox.net/tr/el-salvador-t814/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/el-salvador-cuba-c178208","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid",""
",  Group B","2023-07-06 19:30","Orta Amerika ve Karayip Oyunları 2023","https://women.volleybox.net/tr/women-central-american-and-caribbean-games-2023-o25638/matches","Palacio de los Deportes Carlos El Famoso Hernández, San Salvador","https://women.volleybox.net/tr/palacio-de-los-deportes-carlos-el-famoso-hernandez-a6388/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/trinidad-and-tobago-t1225/matches","https://volleybox.net/media/img/light-px.png","Trinidad ve Tobago","https://women.volleybox.net/tr/cuba-trinidad-and-tobago-c178209","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid",""
",  semi-final","2023-07-08 02:00","Orta Amerika ve Karayip Oyunları 2023","https://women.volleybox.net/tr/women-central-american-and-caribbean-games-2023-o25638/matches","Palacio de los Deportes Carlos El Famoso Hernández, San Salvador","https://women.volleybox.net/tr/palacio-de-los-deportes-carlos-el-famoso-hernandez-a6388/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/dominican-republic-cuba-c178942","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid",""
",  3rd place match","2023-07-08 22:30","Orta Amerika ve Karayip Oyunları 2023","https://women.volleybox.net/tr/women-central-american-and-caribbean-games-2023-o25638/matches","Palacio de los Deportes Carlos El Famoso Hernández, San Salvador","https://women.volleybox.net/tr/palacio-de-los-deportes-carlos-el-famoso-hernandez-a6388/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/colombia-cuba-c178969","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid",""
",  Round Robin","2023-08-20 22:00","NORCECA Pan American Cup Final Six 2023","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2023-o30977/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/cuba-puerto-rico-c185514","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","34"
",  Round Robin","2023-08-22 02:00","NORCECA Pan American Cup Final Six 2023","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2023-o30977/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/dominican-republic-cuba-c185519","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","32"
",  Round Robin","2023-08-24 18:00","NORCECA Pan American Cup Final Six 2023","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2023-o30977/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/usa-cuba-c185524","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","35"
",  Round Robin","2023-08-25","NORCECA Pan American Cup Final Six 2023","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2023-o30977/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/mexico-cuba-c185527","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","33"
",  Round Robin","2023-08-25 16:00","NORCECA Pan American Cup Final Six 2023","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2023-o30977/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/canada-cuba-c185521","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","34"
",  semi-final","2023-08-26 03:00","NORCECA Pan American Cup Final Six 2023","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2023-o30977/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/dominican-republic-cuba-c189426","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","12"
",  3rd place match","2023-08-27","NORCECA Pan American Cup Final Six 2023","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2023-o30977/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/mexico-cuba-c189454","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","20"
",  Group B","2023-08-30","NORCECA Şampiyonası 2023","https://women.volleybox.net/tr/women-norceca-championships-2023-o23288/matches","PEPS Amphitheatre Desjardins Universite Laval, Quebec","https://women.volleybox.net/tr/peps-amphitheatre-desjardins-universite-laval-a5194/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/dominican-republic-cuba-c186343","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","31"
",  Group B","2023-08-30 21:30","NORCECA Şampiyonası 2023","https://women.volleybox.net/tr/women-norceca-championships-2023-o23288/matches","PEPS Amphitheatre Desjardins Universite Laval, Quebec","https://women.volleybox.net/tr/peps-amphitheatre-desjardins-universite-laval-a5194/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/cuba-usa-c186344","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","32"
",  Group B","2023-08-31 21:30","NORCECA Şampiyonası 2023","https://women.volleybox.net/tr/women-norceca-championships-2023-o23288/matches","PEPS Amphitheatre Desjardins Universite Laval, Quebec","https://women.volleybox.net/tr/peps-amphitheatre-desjardins-universite-laval-a5194/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/costa-rica-t778/matches","https://volleybox.net/media/img/light-px.png","Kosta Rika","https://women.volleybox.net/tr/cuba-costa-rica-c186346","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","32"
