"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_movies","show_movies href"
",  Group B","2015-06-15 21:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","1 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/germany-serbia-c375","10 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","",""
",  Group B","2015-06-17 10:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","Almanya","https://women.volleybox.net/tr/netherlands-germany-c393","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","",""
",  Group B","2015-06-19 23:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/germany-russia-c409","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","",""
",  Group B","2015-06-21 17:30","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/croatia-germany-c432","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","",""
",  quarterfinal","2015-06-23 14:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/poland-germany-c451","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","",""
",  Group B","2015-07-03 12:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/germany-russia-c493","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-007.pdf"
",  Group B","2015-07-04 15:30","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/china-germany-c31339","5 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-010.pdf"
",  Group B","2015-07-05 12:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/germany-dominican-republic-c513","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-011.pdf"
",  Group D","2015-07-10 12:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Ginásio do Ibirapuera, Sao Paolo","https://women.volleybox.net/tr/ginasio-do-ibirapuera-a80/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/germany-thailand-c531","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-020.pdf"
",  Group D","2015-07-11 08:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Ginásio do Ibirapuera, Sao Paolo","https://women.volleybox.net/tr/ginasio-do-ibirapuera-a80/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/belgium-germany-c31351","5 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-022.pdf"
