"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_predictions","show_movies 2","show_movies href"
",  Group A","2019-05-15 13:15","Montreux Volley Masters 2019","https://women.volleybox.net/tr/women-montreux-volley-masters-2019-o8348/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","Almanya","https://women.volleybox.net/tr/japan-germany-c15739","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group A","2019-05-16 19:45","Montreux Volley Masters 2019","https://women.volleybox.net/tr/women-montreux-volley-masters-2019-o8348/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","1 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/germany-poland-c15740","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  7th place match","2019-05-17 12:30","Montreux Volley Masters 2019","https://women.volleybox.net/tr/women-montreux-volley-masters-2019-o8348/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/switzerland-t1201/matches","https://volleybox.net/media/img/light-px.png","İsviçre","https://women.volleybox.net/tr/germany-switzerland-c15884","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group A","2019-05-21 13:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Stegu Arena, Opole","https://women.volleybox.net/tr/stegu-arena-a950/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/thailand-germany-c15789","6 yıl önce önce  tarafından eklendi","Anderson Antunes","22","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256207692"
",  Group A","2019-05-22 21:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Stegu Arena, Opole","https://women.volleybox.net/tr/stegu-arena-a950/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/poland-germany-c15800","6 yıl önce önce  tarafından eklendi","Anderson Antunes","21","",""
",  Group A","2019-05-23 18:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Stegu Arena, Opole","https://women.volleybox.net/tr/stegu-arena-a950/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/italy-germany-c15805","6 yıl önce önce  tarafından eklendi","Anderson Antunes","23","",""
",  Group F","2019-05-28 14:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/russia-germany-c15893","6 yıl önce önce  tarafından eklendi","Anderson Antunes","19","",""
",  Group F","2019-05-29 12:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/germany-turkey-c15904","6 yıl önce önce  tarafından eklendi","Anderson Antunes","20","",""
",  Group F","2019-05-30 09:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/japan-germany-c15909","6 yıl önce önce  tarafından eklendi","Anderson Antunes","18","",""
",  Group J","2019-06-05 00:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Pinnacle Bank Arena, Lincoln","https://women.volleybox.net/tr/pinnacle-bank-arena-a1426/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/brazil-germany-c15977","6 yıl önce önce  tarafından eklendi","S…k","18","",""
