"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","rank_user","rank_user href"
",","2022-05-25 19:30","dostluk maçı 2021/22","https://women.volleybox.net/tr/women-friendly-match-2021-22-o21986/matches","Hala Nysa, Nysa","https://women.volleybox.net/tr/hala-nysa-a2145/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","Almanya","https://women.volleybox.net/tr/poland-germany-c114503","3 yıl önce önce  tarafından eklendi","","","","","","",""
",  1st round - Group A","2022-06-01 01:10","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Brookshire Grocery Arena, Bossier City","https://women.volleybox.net/tr/brookshire-grocery-arena-a1496/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","1 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/upload/teams/nt_flag_Brazil.png","Brezilya","https://women.volleybox.net/tr/germany-brazil-c100310","3 yıl önce önce  tarafından eklendi","58","1","https://women.volleybox.net/tr/frame/match_report/0/16604","1","5","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  1st round - Group A","2022-06-03 01:10","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Brookshire Grocery Arena, Bossier City","https://women.volleybox.net/tr/brookshire-grocery-arena-a1496/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/germany-japan-c100328","3 yıl önce önce  tarafından eklendi","59","1","https://women.volleybox.net/tr/frame/match_report/0/16617","1","5","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  1st round - Group A","2022-06-03 22:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Brookshire Grocery Arena, Bossier City","https://women.volleybox.net/tr/brookshire-grocery-arena-a1496/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/germany-south-korea-c100332","3 yıl önce önce  tarafından eklendi","65","1","https://women.volleybox.net/tr/frame/match_report/0/16625","1","3","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  1st round - Group A","2022-06-05 20:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Brookshire Grocery Arena, Bossier City","https://women.volleybox.net/tr/brookshire-grocery-arena-a1496/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/poland-germany-c100337","3 yıl önce önce  tarafından eklendi","63","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256507119","3","","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  2nd round - Group A","2022-06-15","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/netherlands-germany-c100341","3 yıl önce önce  tarafından eklendi","72","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256509708","2","","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  2nd round - Group A","2022-06-17 21:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/germany-italy-c100363","3 yıl önce önce  tarafından eklendi","71","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510349","1","2","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  2nd round - Group A","2022-06-19","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/germany-turkey-c100367","3 yıl önce önce  tarafından eklendi","68","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510528","1","3","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  2nd round - Group A","2022-06-19 19:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/germany-dominican-republic-c100370","3 yıl önce önce  tarafından eklendi","68","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510664","2","","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  3rd round - Group A","2022-06-29 02:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Chief Jim Starlight Centre, Calgary","https://women.volleybox.net/tr/chief-jim-starlight-centre-a1457/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/serbia-germany-c100389","3 yıl önce önce  tarafından eklendi","68","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256513514","1","","atilberk","https://women.volleybox.net/tr/user/atilberk"
