"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","connected_by","rank_user","show_movies 4","rank_user href"
",  Group C","2023-09-17 12:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","3 : 1","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","Kolombiya","https://women.volleybox.net/tr/germany-colombia-c176716","81","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256623846","1","2","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2023-09-19 12:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","3 : 2","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","Güney Kore","https://women.volleybox.net/tr/germany-south-korea-c176720","83","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624269","1","2","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2023-09-20 21:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/slovenia-t1174/matches","https://volleybox.net/media/img/light-px.png","Slovenya","https://women.volleybox.net/tr/germany-slovenia-c176727","80","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624707","1","2","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2023-09-22 18:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/poland-germany-c176730","84","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256625891","1","1","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2023-09-23 21:45","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/italy-germany-c176735","84","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626346","1","3","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2023-09-24 18:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/usa-germany-c176738","88","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626533","1","2","2 yıl önce önce  tarafından eklendi","J…e","",""
",","2024-05-10 20:30","dostluk maçı 2023/24","https://women.volleybox.net/tr/women-friendly-match-2023-24-o31265/matches","MBS Arena Potsdam, Potsdam","https://women.volleybox.net/tr/mbs-arena-potsdam-a653/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","Romanya","https://women.volleybox.net/tr/germany-romania-c231728","","","","","","1 yıl önce önce  tarafından eklendi","","",""
",  Week One","2024-05-15 17:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Antalya Spor Salonu, Antalya","https://women.volleybox.net/tr/antalya-spor-salonu-a1227/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/france-germany-c215133","133","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256659330","1","1","1 yıl önce önce  tarafından eklendi","I…Y","2",""
",  Week One","2024-05-16 14:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Antalya Spor Salonu, Antalya","https://women.volleybox.net/tr/antalya-spor-salonu-a1227/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/italy-germany-c215137","133","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256659696","2","1","1 yıl önce önce  tarafından eklendi","I…Y","3",""
",  Week One","2024-05-17 14:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Antalya Spor Salonu, Antalya","https://women.volleybox.net/tr/antalya-spor-salonu-a1227/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/japan-germany-c215143","131","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256660358","2","1","1 yıl önce önce  tarafından eklendi","I…Y","3",""
",  Week One","2024-05-19 14:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Antalya Spor Salonu, Antalya","https://women.volleybox.net/tr/antalya-spor-salonu-a1227/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/germany-netherlands-c215155","127","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256662220","1","1","1 yıl önce önce  tarafından eklendi","I…Y","1",""
",  Week Two","2024-05-29 22:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","College Park Center, Arlington","https://women.volleybox.net/tr/college-park-center-a5396/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/germany-turkey-c215168","132","1","https://women.volleybox.net/tr/frame/match_report/0/88792","1","3","1 yıl önce önce  tarafından eklendi","I…Y","",""
",  Week Two","2024-05-31","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","College Park Center, Arlington","https://women.volleybox.net/tr/college-park-center-a5396/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/canada-germany-c215173","128","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256665313.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20240531%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240531T065742Z&X-Amz-SignedHeaders=host&X-Amz-Signature=7af0548127ba96146f1c893a66fc14c716d2ab329f9f0a5eaac0e8f708e01559","1","2","1 yıl önce önce  tarafından eklendi","I…Y","",""
",  Week Two","2024-05-31 21:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","College Park Center, Arlington","https://women.volleybox.net/tr/college-park-center-a5396/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/germany-poland-c215178","120","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256665907.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20240601%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240601T061805Z&X-Amz-SignedHeaders=host&X-Amz-Signature=10d92c2c216fec5c324518d6b92218bb9620a32fcc07f0b3710ad914e14ef18d","1","1","1 yıl önce önce  tarafından eklendi","I…Y","",""
",  Week Two","2024-06-03 02:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","College Park Center, Arlington","https://women.volleybox.net/tr/college-park-center-a5396/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/bulgaria-germany-c215193","126","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256666458.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20240603%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240603T072341Z&X-Amz-SignedHeaders=host&X-Amz-Signature=a7eb4e266f81153858dc7db98548adf124fd487577dcdbd20de7c11b095dcce3","1","1","1 yıl önce önce  tarafından eklendi","I…Y","",""
",  Week Three","2024-06-11 12:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/germany-dominican-republic-c228292","127","","","1","2","1 yıl önce önce  tarafından eklendi","-Jeffrey-","","https://women.volleybox.net/tr/user/-Jeffrey-"
",  Week Three","2024-06-13 12:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/germany-brazil-c228300","126","","","1","1","1 yıl önce önce  tarafından eklendi","-Jeffrey-","","https://women.volleybox.net/tr/user/-Jeffrey-"
",  Week Three","2024-06-14 15:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/germany-china-c228357","114","","","1","2","1 yıl önce önce  tarafından eklendi","-Jeffrey-","","https://women.volleybox.net/tr/user/-Jeffrey-"
",  Week Three","2024-06-16 08:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/germany-thailand-c228363","118","1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/19050/#boxscore","1","1","1 yıl önce önce  tarafından eklendi","-Jeffrey-","","https://women.volleybox.net/tr/user/-Jeffrey-"
