"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","show_movies href","connected_by","rank_editor","rank_editor href","show_movies 2","rank_newbie","rank_newbie href","show_predictions","rank_moderator","rank_moderator href"
",  Group A","2024-08-29 19:00","Avrupa Şampiyonası Elemeleri 2025","https://women.volleybox.net/tr/women-european-championship-qualification-2025-o35803/matches","Palmberg Arena, Schwerin","https://women.volleybox.net/tr/palmberg-arena-a654/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","3 : 0","https://women.volleybox.net/tr/finland-t835/matches","https://volleybox.net/media/upload/teams/nt_flag_Finland.png","Finlandiya","https://women.volleybox.net/tr/germany-finland-c247871","1","https://www.cev.eu/match-centres/cev-eurovolley-2026/cev-eurovolley-2026-women/wa-03-germany-v-finland/","9 ay önce önce  tarafından eklendi","Isabella Kirkegaard","https://women.volleybox.net/tr/user/IsabellaKirkegaard","","","","","",""
",","2025-05-08 21:00","dostluk maçı 2024/25","https://women.volleybox.net/tr/women-friendly-match-2024-25-o36310/matches","Pala Igor Gorgonzola, Novara","https://women.volleybox.net/tr/pala-igor-gorgonzola-a528/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","Almanya","https://women.volleybox.net/tr/italy-germany-c297942","","","1 ay önce önce  tarafından eklendi","Gymnicus","https://women.volleybox.net/tr/user/Gymnicus","","","","","",""
",","2025-05-09 18:00","dostluk maçı 2024/25","https://women.volleybox.net/tr/women-friendly-match-2024-25-o36310/matches","Allianz Cloud, Milano","https://women.volleybox.net/tr/allianz-cloud-a1462/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/italy-germany-c297943","","","1 ay önce önce  tarafından eklendi","Gymnicus","https://women.volleybox.net/tr/user/Gymnicus","","","","","",""
",  1st round","2025-05-23 17:30","AIA AeQuilibrium Cup 2025","https://women.volleybox.net/tr/women-aia-aequilibrium-cup-2025-o40508/matches","PalaPanini, Modena","https://women.volleybox.net/tr/palapanini-a224/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/germany-turkey-c299059","","","3 hafta önce önce  tarafından eklendi","Gymnicus","https://women.volleybox.net/tr/user/Gymnicus","2","","","","",""
",  2nd round","2025-05-24 17:30","AIA AeQuilibrium Cup 2025","https://women.volleybox.net/tr/women-aia-aequilibrium-cup-2025-o40508/matches","PalaPanini, Modena","https://women.volleybox.net/tr/palapanini-a224/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/germany-netherlands-c299061","","","3 hafta önce önce  tarafından eklendi","Gymnicus","https://women.volleybox.net/tr/user/Gymnicus","","","","","",""
",  3rd round","2025-05-25 18:00","AIA AeQuilibrium Cup 2025","https://women.volleybox.net/tr/women-aia-aequilibrium-cup-2025-o40508/matches","PalaPanini, Modena","https://women.volleybox.net/tr/palapanini-a224/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/italy-germany-c299064","","","3 hafta önce önce  tarafından eklendi","Gymnicus","https://women.volleybox.net/tr/user/Gymnicus","1","","","","",""
",","2025-05-29 03:00","dostluk maçı 2024/25","https://women.volleybox.net/tr/women-friendly-match-2024-25-o36310/matches","La Casa del Vóley Parque Olimpico, CABA","https://women.volleybox.net/tr/la-casa-del-voley-parque-olimpico-a8028/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/argentina-germany-c299459","","","2 hafta önce önce  tarafından eklendi","","","1","Jgteixe1","https://women.volleybox.net/tr/user/Jgteixe1","","",""
",  Week One","2025-06-05 03:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/south-korea-germany-c281473","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256750331.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250605%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250605T054604Z&X-Amz-SignedHeaders=host&X-Amz-Signature=0bf61784edbb18b16bd06ee19335c4da48370a53cce605b0f822c30d8fcf1624","4 ay önce önce  tarafından eklendi","","","","","","103","",""
",  Week One","2025-06-05 23:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/germany-italy-c281474","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256751196.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250607%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250607T021102Z&X-Amz-SignedHeaders=host&X-Amz-Signature=da903d06c1f91cb50b1fd3fe1558e5524bb5f3607df9b6ffbf230becc9bc9d08","4 ay önce önce  tarafından eklendi","","","1","","","108","",""
",  Week One","2025-06-07 19:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/germany-brazil-c281478","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256753215.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250608%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250608T095412Z&X-Amz-SignedHeaders=host&X-Amz-Signature=6bb9e9914880df32cbf8029f9b82c97a3aec017cf42653c60d2fc4959bd4dbd0","4 ay önce önce  tarafından eklendi","","","","","","103","",""
",  Week One","2025-06-08 19:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/czech-republic-germany-c299802","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256753823.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250608%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250608T215024Z&X-Amz-SignedHeaders=host&X-Amz-Signature=8e684fcc6f3a2d88b58d0915f6c5aa41f4edbc115adb77c91bf18aba0cbed150","1 hafta önce önce  tarafından eklendi","","","2","","","81","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
",  Week Two","2025-06-18 14:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/france-germany-c300077","","","1 gün önce önce  tarafından eklendi","","","","Michał","https://women.volleybox.net/tr/user/michal9408","47","",""
",  Week Two","2025-06-19 21:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/germany-serbia-c300086","","","1 gün önce önce  tarafından eklendi","","","","Michał","https://women.volleybox.net/tr/user/michal9408","27","",""
",  Week Two","2025-06-20 21:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/germany-poland-c300092","","","1 gün önce önce  tarafından eklendi","","","","Michał","https://women.volleybox.net/tr/user/michal9408","24","",""
",  Week Two","2025-06-22 14:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/germany-netherlands-c300117","","","21 saat önce önce  tarafından eklendi","","","","Michał","https://women.volleybox.net/tr/user/michal9408","16","",""
",  Group A","2025-08-02 15:00","Avrupa Şampiyonası Elemeleri 2025","https://women.volleybox.net/tr/women-european-championship-qualification-2025-o35803/matches","AGCO Power Arena, Nokia","https://women.volleybox.net/tr/agco-power-arena-a9185/matches","Finlandiya","https://women.volleybox.net/tr/finland-t835/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/finland-germany-c247976","","","9 ay önce önce  tarafından eklendi","Isabella Kirkegaard","https://women.volleybox.net/tr/user/IsabellaKirkegaard","","","","","",""
",  Group A","2025-08-06 20:00","Avrupa Şampiyonası Elemeleri 2025","https://women.volleybox.net/tr/women-european-championship-qualification-2025-o35803/matches","Sporthalle am Platz der Deutschen Einheit, Wiesbaden","https://women.volleybox.net/tr/sporthalle-am-platz-der-deutschen-einheit-a1747/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/switzerland-t1201/matches","https://volleybox.net/media/img/light-px.png","İsviçre","https://women.volleybox.net/tr/germany-switzerland-c247977","","","9 ay önce önce  tarafından eklendi","Isabella Kirkegaard","https://women.volleybox.net/tr/user/IsabellaKirkegaard","","","","","",""
