"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","rank_moderator","rank_moderator href","show_movies","rank_admin","rank_admin href"
",  Group A3","2017-07-08 19:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Gimnasio Olimpico Aguascalientes, Aguascalientes City","https://women.volleybox.net/tr/gimnasio-olimpico-aguascalientes-a773/matches","Avustralya","https://women.volleybox.net/tr/australia-t676/matches","https://volleybox.net/media/upload/teams/nt_flag_Australia.png","1 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/upload/teams/nt_flag_Hungary.png","Macaristan","https://women.volleybox.net/tr/australia-hungary-c6151","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","",""
",  Group A3","2017-07-09 21:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Gimnasio Olimpico Aguascalientes, Aguascalientes City","https://women.volleybox.net/tr/gimnasio-olimpico-aguascalientes-a773/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/upload/teams/nt_flag_Mexico.png","0 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/upload/teams/nt_flag_Hungary.png","Macaristan","https://women.volleybox.net/tr/mexico-hungary-c6161","marciovolley","https://women.volleybox.net/tr/user/marciovolley","1","",""
",  Group C3","2017-07-14 23:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Domo José Maria Vargas, Caracas","https://women.volleybox.net/tr/domo-jose-maria-vargas-a442/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/mexico-hungary-c6182","","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group C3","2017-07-15 23:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Domo José Maria Vargas, Caracas","https://women.volleybox.net/tr/domo-jose-maria-vargas-a442/matches","Cezayir","https://women.volleybox.net/tr/algeria-t649/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/algeria-hungary-c6184","","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group C3","2017-07-17 02:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Domo José Maria Vargas, Caracas","https://women.volleybox.net/tr/domo-jose-maria-vargas-a442/matches","Venezuela","https://women.volleybox.net/tr/venezuela-t1267/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/venezuela-hungary-c6187","","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Semi-Final (Group 3)","2017-07-22 09:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","AIS Arena, Canberra","https://women.volleybox.net/tr/ais-arena-a776/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","Fransa","https://women.volleybox.net/tr/hungary-france-c6261","","","1","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Final (Group 3)","2017-07-23 09:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","AIS Arena, Canberra","https://women.volleybox.net/tr/ais-arena-a776/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/australia-t676/matches","https://volleybox.net/media/img/light-px.png","Avustralya","https://women.volleybox.net/tr/hungary-australia-c6264","","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group A","2017-09-22 17:00","Avrupa Şampiyonası 2017","https://women.volleybox.net/tr/women-european-championships-2017-o3896/matches","National Gymnastics Arena, Baku","https://women.volleybox.net/tr/national-gymnastics-arena-a842/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/azerbaijan-t682/matches","https://volleybox.net/media/img/light-px.png","Azerbaycan","https://women.volleybox.net/tr/hungary-azerbaijan-c6683","","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group A","2017-09-23 17:00","Avrupa Şampiyonası 2017","https://women.volleybox.net/tr/women-european-championships-2017-o3896/matches","National Gymnastics Arena, Baku","https://women.volleybox.net/tr/national-gymnastics-arena-a842/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/poland-hungary-c6684","","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group A","2017-09-24 19:30","Avrupa Şampiyonası 2017","https://women.volleybox.net/tr/women-european-championships-2017-o3896/matches","National Gymnastics Arena, Baku","https://women.volleybox.net/tr/national-gymnastics-arena-a842/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/germany-hungary-c6686","","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
