"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_editor","rank_editor href","rank_user","show_movies","show_movies 3","show_movies href"
",  Group B","2019-05-29 20:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Gradska Sportska Dvorana, Bijeljina","https://women.volleybox.net/tr/gradska-sportska-dvorana-a1215/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","3 : 1","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/upload/teams/nt_flag_Hungary.png","Macaristan","https://women.volleybox.net/tr/croatia-hungary-c15843","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit","","","",""
",  Group B","2019-06-01 19:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Salle Régionale des Sports Maréchal, Harnes","https://women.volleybox.net/tr/salle-regionale-des-sports-marechal-a1299/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/upload/teams/nt_flag_France.png","1 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/upload/teams/nt_flag_Hungary.png","Macaristan","https://women.volleybox.net/tr/france-hungary-c14424","6 yıl önce önce  tarafından eklendi","","","S…k","","",""
",  Group B","2019-06-08 16:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Kaposvár Aréna, Kaposvár","https://women.volleybox.net/tr/kaposvar-arena-a1379/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/hungary-croatia-c15846","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit","","1","",""
",  Group B","2019-06-12 18:55","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Raiffeisen Sportpark, Graz","https://women.volleybox.net/tr/raiffeisen-sportpark-a1214/matches","Avusturya","https://women.volleybox.net/tr/austria-t679/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/austria-hungary-c15847","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit","","","",""
",  Group B","2019-06-15 16:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Ludovika Aréna, Budapest","https://women.volleybox.net/tr/ludovika-arena-a1097/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/austria-t679/matches","https://volleybox.net/media/img/light-px.png","Avusturya","https://women.volleybox.net/tr/hungary-austria-c15849","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit","","","",""
",  Group C","2019-07-05 15:30","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaCoscioni, Nocera","https://women.volleybox.net/tr/palacoscioni-a1368/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/czech-republic-hungary-c16605","5 yıl önce önce  tarafından eklendi","","","S…k","","",""
",  Group C","2019-07-06 13:00","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","Palazzetto dello Sport, Ariano","https://women.volleybox.net/tr/palazzetto-dello-sport-a1370/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/argentina-hungary-c16617","5 yıl önce önce  tarafından eklendi","","","S…k","","",""
",  Group C","2019-07-07 15:30","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","Palazzetto dello Sport, Ariano","https://women.volleybox.net/tr/palazzetto-dello-sport-a1370/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","Çin Taipei","https://women.volleybox.net/tr/hungary-chinese-taipei-c16637","5 yıl önce önce  tarafından eklendi","","","S…k","","",""
",  quarterfinal","2019-07-09 21:00","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaCoscioni, Nocera","https://women.volleybox.net/tr/palacoscioni-a1368/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/hungary-canada-c16702","5 yıl önce önce  tarafından eklendi","","","S…k","1","",""
",  semi-final","2019-07-10 21:00","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaSele, Eboli","https://women.volleybox.net/tr/palasele-a1046/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/hungary-italy-c16719","5 yıl önce önce  tarafından eklendi","","","S…k","","",""
