"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","connected_by","rank_editor","rank_editor href","show_movies 2","show_movies href","rank_user","rank_user href"
",  Group E","2021-05-08 18:00","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Le Phare, Belfort","https://women.volleybox.net/tr/le-phare-a1538/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/upload/teams/nt_flag_France.png","2 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/upload/teams/nt_flag_Hungary.png","Macaristan","https://women.volleybox.net/tr/france-hungary-c67657","42","1","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group E","2021-05-09 20:30","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Le Phare, Belfort","https://women.volleybox.net/tr/le-phare-a1538/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/upload/teams/nt_flag_Hungary.png","3 : 0","https://women.volleybox.net/tr/denmark-t796/matches","https://volleybox.net/media/upload/teams/nt_flag_Denmark.png","Danimarka","https://women.volleybox.net/tr/hungary-denmark-c67659","41","1","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group E","2021-05-14 20:00","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Ludovika Aréna, Budapest","https://women.volleybox.net/tr/ludovika-arena-a1097/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/israel-t919/matches","https://volleybox.net/media/img/light-px.png","İsrail","https://women.volleybox.net/tr/hungary-israel-c67650","42","2","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group E","2021-05-15 20:00","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Ludovika Aréna, Budapest","https://women.volleybox.net/tr/ludovika-arena-a1097/matches","Danimarka","https://women.volleybox.net/tr/denmark-t796/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/denmark-hungary-c67652","40","","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group E","2021-05-16 17:00","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Ludovika Aréna, Budapest","https://women.volleybox.net/tr/ludovika-arena-a1097/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/france-hungary-c67654","40","1","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group C","2021-05-28 18:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/croatia-hungary-c71798","22","1","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group C","2021-05-29 20:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","Belarus","https://women.volleybox.net/tr/hungary-belarus-c71793","29","","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group C","2021-05-30 20:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/hungary-czech-republic-c71795","28","","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=40325","",""
",  Group C","2021-06-02 20:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/hungary-czech-republic-c71810","27","1","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=40439","",""
",  Group C","2021-06-03 17:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","Belarus","https://women.volleybox.net/tr/hungary-belarus-c71808","27","1","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
