"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","show_movies href","connected_by","rank_admin","rank_admin href","rank_newbie","rank_newbie href"
",  Group C1","2017-07-08 21:30","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","3 : 1","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","Japonya","https://women.volleybox.net/tr/dominican-republic-japan-c6133","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-016.pdf","7 yıl önce önce  tarafından eklendi","","","",""
",  Group C1","2017-07-09 18:30","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","2 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","Japonya","https://women.volleybox.net/tr/netherlands-japan-c6134","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-017.pdf","7 yıl önce önce  tarafından eklendi","","","",""
",  Group D1","2017-07-14 13:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Sendai City Gymnasium, Sendai City Miyagi","https://women.volleybox.net/tr/sendai-city-gymnasium-a278/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/japan-thailand-c6190","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-020.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group D1","2017-07-15 08:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Sendai City Gymnasium, Sendai City Miyagi","https://women.volleybox.net/tr/sendai-city-gymnasium-a278/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/japan-serbia-c6191","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-021.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group D1","2017-07-16 07:15","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Sendai City Gymnasium, Sendai City Miyagi","https://women.volleybox.net/tr/sendai-city-gymnasium-a278/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/japan-brazil-c6193","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-023.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group G1","2017-07-21 16:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/china-japan-c6226","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-038.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group G1","2017-07-22 08:15","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/japan-serbia-c6227","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-039.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group G1","2017-07-23 08:15","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/japan-russia-c6229","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-041.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  quarterfinal","2017-08-15 10:00","Asya Şampiyonası 2017","https://women.volleybox.net/tr/women-asian-championships-2017-o3923/matches","Alonte Sports Arena, Biñan","https://women.volleybox.net/tr/alonte-sports-arena-a858/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/img/light-px.png","Vietnam","https://women.volleybox.net/tr/japan-vietnam-c35362","1","http://asianvolleyball.net/old-2018/wp-content/uploads/2017/07/Daily-Bulletin-No-7.pdf","5 yıl önce önce  tarafından eklendi","","","",""
",  semi-final","2017-08-16 10:00","Asya Şampiyonası 2017","https://women.volleybox.net/tr/women-asian-championships-2017-o3923/matches","Alonte Sports Arena, Biñan","https://women.volleybox.net/tr/alonte-sports-arena-a858/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/japan-china-c35356","1","http://asianvolleyball.net/old-2018/wp-content/uploads/2017/07/Daily-Bulletin-No-8.pdf","5 yıl önce önce  tarafından eklendi","","","",""
