"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","connected_by","rank_user","rank_editor","rank_editor href"
",  round robin - 1st round","2021-05-25 16:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/japan-thailand-c71708","56","1","https://cdn5.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-4-Giappone-Thailandia-3-0.jpg","3","4 yıl önce önce  tarafından eklendi","S…k","",""
",  round robin - 2nd round","2021-05-26 14:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","Japonya","https://women.volleybox.net/tr/china-japan-c69065","67","1","https://cdn6.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-11-Cina-Giappone-0-3.jpg","1","4 yıl önce önce  tarafından eklendi","","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou"
",  round robin - 3rd round","2021-05-27 14:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","Japonya","https://women.volleybox.net/tr/south-korea-japan-c69084","62","1","https://cdn9.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-19-Korea-Giappone.jpg","1","4 yıl önce önce  tarafından eklendi","","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou"
",  round robin - 4th round","2021-05-31 16:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/brazil-japan-c70040","64","1","https://cdn8.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-28-Brasile-Giappone-3-0.jpg","1","4 yıl önce önce  tarafından eklendi","S…k","",""
",  round robin - 5th round","2021-06-01 20:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/italy-japan-c70051","58","1","https://cdn7.volleyball.it/wp-content/uploads/2021/06/Ita-Giappone-totale.jpg","1","4 yıl önce önce  tarafından eklendi","S…k","",""
",  round robin - 6th round","2021-06-02 16:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/japan-russia-c70056","56","1","https://cdn8.volleyball.it/wp-content/uploads/2021/06/WVNL2021-Match-44-Giappine-Russia-3-0.jpg","1","4 yıl önce önce  tarafından eklendi","S…k","",""
",  round robin - 7th round","2021-06-06 13:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/japan-netherlands-c70062","56","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312110","1","4 yıl önce önce  tarafından eklendi","S…k","",""
",  round robin - 8th round","2021-06-07 14:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/canada-japan-c70071","56","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312218","","4 yıl önce önce  tarafından eklendi","S…k","",""
",  round robin - 9th round","2021-06-08 16:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/japan-poland-c70080","53","1","http://fivb.org/vis2009/getdocument.asmx?no=256312353","1","4 yıl önce önce  tarafından eklendi","S…k","",""
",  round robin - 10th round","2021-06-12 14:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/japan-turkey-c70087","59","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256313549","","4 yıl önce önce  tarafından eklendi","S…k","",""
