"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_moderator","rank_moderator href","rank_newbie","rank_newbie href","rank_user","rank_user href"
",  round robin - 3rd round","2017-09-25 03:00","Gatarode Cup 2017/18","https://women.volleybox.net/tr/women-gatarode-cup-2017-18-o20875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","1 : 3","https://women.volleybox.net/tr/osasco-voleibol-clube-t2191/matches","https://volleybox.net/media/upload/teams/1666833989NG1Zd.png","Vôlei Nestlé/Osasco","https://women.volleybox.net/tr/peru-osascosao-cristovao-saude-c73863","4 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","","",""
",  Round Robin","2018-05-26 03:00","South American Challenger Cup Qualification 2018","https://women.volleybox.net/tr/women-south-american-challenger-cup-qualification-2018-o28221/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","3 : 0","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/upload/teams/nt_flag_Chile.png","Şili","https://women.volleybox.net/tr/peru-chile-c148231","2 yıl önce önce  tarafından eklendi","","","Perseo Lévano","https://women.volleybox.net/tr/user/PerseoLevano","",""
",  Round Robin","2018-05-27 03:00","South American Challenger Cup Qualification 2018","https://women.volleybox.net/tr/women-south-american-challenger-cup-qualification-2018-o28221/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Venezuela","https://women.volleybox.net/tr/venezuela-t1267/matches","https://volleybox.net/media/upload/teams/nt_flag_Venezuela.png","0 : 3","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","Peru","https://women.volleybox.net/tr/venezuela-peru-c148232","2 yıl önce önce  tarafından eklendi","","","Perseo Lévano","https://women.volleybox.net/tr/user/PerseoLevano","",""
",  Round Robin","2018-05-28 02:00","South American Challenger Cup Qualification 2018","https://women.volleybox.net/tr/women-south-american-challenger-cup-qualification-2018-o28221/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/peru-colombia-c148233","2 yıl önce önce  tarafından eklendi","","","Perseo Lévano","https://women.volleybox.net/tr/user/PerseoLevano","",""
",  Group A","2018-06-21 01:00","Challenger Cup 2018","https://women.volleybox.net/tr/women-challenger-cup-2018-o5976/matches","Coliseo Eduardo Dibós, Lima","https://women.volleybox.net/tr/coliseo-eduardo-dibos-a841/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/peru-colombia-c23770","5 yıl önce önce  tarafından eklendi","","","","","Pedro Henrique Torres","https://women.volleybox.net/tr/user/phtorres"
",  Group A","2018-06-23 01:00","Challenger Cup 2018","https://women.volleybox.net/tr/women-challenger-cup-2018-o5976/matches","Coliseo Eduardo Dibós, Lima","https://women.volleybox.net/tr/coliseo-eduardo-dibos-a841/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/peru-hungary-c23772","5 yıl önce önce  tarafından eklendi","","","","","Pedro Henrique Torres","https://women.volleybox.net/tr/user/phtorres"
",  semi-final","2018-06-24 01:00","Challenger Cup 2018","https://women.volleybox.net/tr/women-challenger-cup-2018-o5976/matches","Coliseo Eduardo Dibós, Lima","https://women.volleybox.net/tr/coliseo-eduardo-dibos-a841/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/bulgaria-peru-c23777","5 yıl önce önce  tarafından eklendi","","","","","Pedro Henrique Torres","https://women.volleybox.net/tr/user/phtorres"
",  3rd place match","2018-06-24 22:00","Challenger Cup 2018","https://women.volleybox.net/tr/women-challenger-cup-2018-o5976/matches","Coliseo Eduardo Dibós, Lima","https://women.volleybox.net/tr/coliseo-eduardo-dibos-a841/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/puerto-rico-peru-c23778","5 yıl önce önce  tarafından eklendi","","","","","Pedro Henrique Torres","https://women.volleybox.net/tr/user/phtorres"
",  Group A","2018-07-08 21:00","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/canada-peru-c10264","6 yıl önce önce  tarafından eklendi","","","","","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group A","2018-07-10 03:00","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/dominican-republic-peru-c10273","6 yıl önce önce  tarafından eklendi","","","","","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
