"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","rank_user","show_predictions","rank_moderator","rank_moderator href"
",  Group A","2019-06-29 04:00","Challenger Cup 2019","https://women.volleybox.net/tr/women-challenger-cup-2019-o9387/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","3 : 1","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","Peru","https://women.volleybox.net/tr/czech-republic-peru-c16553","1","S…k","","",""
",  Group A","2019-07-07 04:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","3 : 0","https://women.volleybox.net/tr/guatemala-t877/matches","https://volleybox.net/media/upload/teams/nt_flag_Guatemala.png","Guatemala","https://women.volleybox.net/tr/peru-guatemala-c16673","","S…k","","",""
",  Group A","2019-07-08 04:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","1 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","Arjantin","https://women.volleybox.net/tr/peru-argentina-c16676","","S…k","","",""
",  Group A","2019-07-09 04:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/peru-canada-c16679","","S…k","","",""
",  Group A","2019-07-10 04:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/peru-cuba-c16682","","S…k","","",""
",  Group A","2019-07-11 04:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/peru-dominican-republic-c16685","","S…k","","",""
",  7th place match - 2nd match","2019-07-13 04:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/trinidad-and-tobago-t1225/matches","https://volleybox.net/media/img/light-px.png","Trinidad ve Tobago","https://women.volleybox.net/tr/peru-trinidad-and-tobago-c16814","","S…k","","",""
",  7th place match","2019-07-14 04:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/cuba-peru-c17042","","S…k","","",""
",  Group A","2019-08-07 18:30","Pan Amerikan Oyunları 2019","https://women.volleybox.net/tr/women-pan-american-games-2019-o5647/matches","Polideportivo del Callao, Callao","https://women.volleybox.net/tr/polideportivo-del-callao-a1625/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/peru-canada-c17471","1","","22","marciovolley","https://women.volleybox.net/tr/user/marciovolley"
",  Group A","2019-08-08 18:30","Pan Amerikan Oyunları 2019","https://women.volleybox.net/tr/women-pan-american-games-2019-o5647/matches","Polideportivo del Callao, Callao","https://women.volleybox.net/tr/polideportivo-del-callao-a1625/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/peru-colombia-c17473","1","","24","marciovolley","https://women.volleybox.net/tr/user/marciovolley"
