"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","connected_by","rank_user","rank_moderator","rank_moderator href"
",  Group B","2023-09-17 10:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/upload/teams/nt_flag_Brazil.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","Peru","https://women.volleybox.net/tr/brazil-peru-c176690","80","1","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-qualifying-tournament/schedule/16676/#matchsummary","1","2","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group B","2023-09-19 07:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","3 : 1","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","Peru","https://women.volleybox.net/tr/turkey-peru-c176693","85","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624120","1","1","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group B","2023-09-20 04:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/belgium-peru-c191576","68","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624531","1","1","1 yıl önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid"
",  Group B","2023-09-22 07:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/bulgaria-peru-c176701","84","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256625495","1","1","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group B","2023-09-23 04:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/puerto-rico-peru-c176704","81","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626038","1","1","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group B","2023-09-24 07:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/argentina-peru-c176709","83","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626401","1","1","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group A","2024-08-18 23:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Domo de la Feria, León","https://women.volleybox.net/tr/domo-de-la-feria-a826/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/dominican-republic-peru-c245735","","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH1.pdf","","","10 ay önce önce  tarafından eklendi","","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos"
",  Group A","2024-08-20 02:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Domo de la Feria, León","https://women.volleybox.net/tr/domo-de-la-feria-a826/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/peru-canada-c245739","","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH9.pdf","","","10 ay önce önce  tarafından eklendi","","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos"
",  Group A","2024-08-21 02:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Domo de la Feria, León","https://women.volleybox.net/tr/domo-de-la-feria-a826/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/colombia-peru-c245742","","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH15.pdf","","","10 ay önce önce  tarafından eklendi","","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos"
",  Group A","2024-08-22 05:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Domo de la Feria, León","https://women.volleybox.net/tr/domo-de-la-feria-a826/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/mexico-peru-c245746","","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH23.pdf","","","10 ay önce önce  tarafından eklendi","","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos"
",  Group A","2024-08-22 20:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Domo de la Feria, León","https://women.volleybox.net/tr/domo-de-la-feria-a826/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/suriname-t8591/matches","https://volleybox.net/media/img/light-px.png","Surinam","https://women.volleybox.net/tr/peru-suriname-c245747","","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH25.pdf","","","10 ay önce önce  tarafından eklendi","","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos"
",  7-10 places","2024-08-24 05:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Inforum Irapuato, Irapuato","https://women.volleybox.net/tr/inforum-irapuato-a7981/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/img/light-px.png","Şili","https://women.volleybox.net/tr/peru-chile-c249352","","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH33.pdf","","","9 ay önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid"
",  9th place match","2024-08-25 05:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Inforum Irapuato, Irapuato","https://women.volleybox.net/tr/inforum-irapuato-a7981/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/cuba-peru-c249413","","","","1","","9 ay önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid"
