"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href"
",  Group B","2016-01-05 16:30","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/upload/teams/nt_flag_Belgium.png","3 : 1","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/belgium-poland-c65610","4 yıl önce önce  tarafından eklendi","",""
",  Group B","2016-01-07 19:30","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/italy-poland-c65613","4 yıl önce önce  tarafından eklendi","",""
",  Group A","2016-06-03 18:00","Avrupa Altın Ligi 2016","https://women.volleybox.net/tr/women-european-golden-league-2016-o3865/matches","Centrum Rekreacyjno-Sportowe, Zielona Góra","https://women.volleybox.net/tr/centrum-rekreacyjno-sportowe-a351/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/albania-t646/matches","https://volleybox.net/media/img/light-px.png","Arnavutluk","https://women.volleybox.net/tr/poland-albania-c23665","5 yıl önce önce  tarafından eklendi","Ronan Caroff","https://women.volleybox.net/tr/user/halvard"
",  Group B2","2016-06-03 21:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Centrum Rekreacyjno-Sportowe, Zielona Góra","https://women.volleybox.net/tr/centrum-rekreacyjno-sportowe-a351/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/poland-canada-c3300","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group A","2016-06-04 19:30","Avrupa Altın Ligi 2016","https://women.volleybox.net/tr/women-european-golden-league-2016-o3865/matches","Centrum Rekreacyjno-Sportowe, Zielona Góra","https://women.volleybox.net/tr/centrum-rekreacyjno-sportowe-a351/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","Belarus","https://women.volleybox.net/tr/poland-belarus-c23668","5 yıl önce önce  tarafından eklendi","Ronan Caroff","https://women.volleybox.net/tr/user/halvard"
",  Group B2","2016-06-04 21:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Centrum Rekreacyjno-Sportowe, Zielona Góra","https://women.volleybox.net/tr/centrum-rekreacyjno-sportowe-a351/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/poland-czech-republic-c3302","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group A","2016-06-05 19:30","Avrupa Altın Ligi 2016","https://women.volleybox.net/tr/women-european-golden-league-2016-o3865/matches","Centrum Rekreacyjno-Sportowe, Zielona Góra","https://women.volleybox.net/tr/centrum-rekreacyjno-sportowe-a351/matches","Slovakya","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/slovakia-poland-c23670","5 yıl önce önce  tarafından eklendi","Ronan Caroff","https://women.volleybox.net/tr/user/halvard"
",  Group B2","2016-06-05 21:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Centrum Rekreacyjno-Sportowe, Zielona Góra","https://women.volleybox.net/tr/centrum-rekreacyjno-sportowe-a351/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/poland-puerto-rico-c3304","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group D2","2016-06-10 21:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Hala Mistrzów, Włocławek","https://women.volleybox.net/tr/hala-mistrzow-a670/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/poland-argentina-c3336","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group D2","2016-06-11 21:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Hala Mistrzów, Włocławek","https://women.volleybox.net/tr/hala-mistrzow-a670/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/poland-kenya-c3338","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16"
