"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_moderator","rank_moderator href","rank_admin","rank_admin href"
",  Group B","2017-06-07 12:30","Montreux Volley Masters 2017","https://women.volleybox.net/tr/women-montreux-volley-masters-2017-o3751/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","1 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/thailand-poland-c5904","8 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","",""
",  Group B","2017-06-09 17:30","Montreux Volley Masters 2017","https://women.volleybox.net/tr/women-montreux-volley-masters-2017-o3751/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/germany-poland-c5909","8 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","",""
",  5-8 places","2017-06-10 16:30","Montreux Volley Masters 2017","https://women.volleybox.net/tr/women-montreux-volley-masters-2017-o3751/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/switzerland-t1201/matches","https://volleybox.net/media/img/light-px.png","İsviçre","https://women.volleybox.net/tr/poland-switzerland-c5912","8 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","",""
",  Group B2","2017-07-07 19:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Estadio Ruca Che, Neuquen","https://women.volleybox.net/tr/estadio-ruca-che-a770/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/croatia-poland-c6141","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","",""
",  Group B2","2017-07-08 17:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Estadio Ruca Che, Neuquen","https://women.volleybox.net/tr/estadio-ruca-che-a770/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/poland-canada-c6143","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","",""
",  Group B2","2017-07-09 20:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Estadio Ruca Che, Neuquen","https://women.volleybox.net/tr/estadio-ruca-che-a770/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/argentina-poland-c6162","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","",""
",  Group E2","2017-07-14 21:25","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Hala Sportowo-Widowiskowa, Ostrowiec Świętokrzyski","https://women.volleybox.net/tr/hala-sportowo-widowiskowa-a867/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/poland-peru-c6214","7 yıl önce önce  tarafından eklendi","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group E2","2017-07-15 21:25","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Hala Sportowo-Widowiskowa, Ostrowiec Świętokrzyski","https://women.volleybox.net/tr/hala-sportowo-widowiskowa-a867/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/poland-argentina-c6216","7 yıl önce önce  tarafından eklendi","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group E2","2017-07-16 21:25","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Hala Sportowo-Widowiskowa, Ostrowiec Świętokrzyski","https://women.volleybox.net/tr/hala-sportowo-widowiskowa-a867/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/poland-south-korea-c6218","7 yıl önce önce  tarafından eklendi","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group H2","2017-07-21 13:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Suwon Gymnasium, Suwon","https://women.volleybox.net/tr/suwon-gymnasium-a453/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/colombia-poland-c6244","7 yıl önce önce  tarafından eklendi","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group H2","2017-07-22 10:30","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Suwon Gymnasium, Suwon","https://women.volleybox.net/tr/suwon-gymnasium-a453/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/img/light-px.png","Kazakistan","https://women.volleybox.net/tr/poland-kazakhstan-c6246","7 yıl önce önce  tarafından eklendi","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group H2","2017-07-23 08:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Suwon Gymnasium, Suwon","https://women.volleybox.net/tr/suwon-gymnasium-a453/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/south-korea-poland-c6247","7 yıl önce önce  tarafından eklendi","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
