"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_admin","rank_admin href"
",  2nd round - Group B","2017-05-24 21:30","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Torwar, Warsaw","https://women.volleybox.net/tr/torwar-a347/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","3 : 0","https://women.volleybox.net/tr/iceland-t901/matches","https://volleybox.net/media/upload/teams/nt_flag_Iceland.png","İzlanda","https://women.volleybox.net/tr/poland-iceland-c181443","1 yıl önce önce  tarafından eklendi","J…e","",""
",  2nd round - Group B","2017-05-25 21:30","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Torwar, Warsaw","https://women.volleybox.net/tr/torwar-a347/matches","Slovakya","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/upload/teams/nt_flag_Slovakia.png","1 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/slovakia-poland-c181446","1 yıl önce önce  tarafından eklendi","J…e","",""
",  2nd round - Group B","2017-05-27 21:30","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Torwar, Warsaw","https://women.volleybox.net/tr/torwar-a347/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","2 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/poland-czech-republic-c181449","1 yıl önce önce  tarafından eklendi","J…e","",""
",  2nd round - Group B","2017-05-28 21:30","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Torwar, Warsaw","https://women.volleybox.net/tr/torwar-a347/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/serbia-poland-c181452","1 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2018-05-16 03:30","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Devaney Center, Lincoln - Nebraska","https://women.volleybox.net/tr/devaney-center-a1041/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/usa-poland-c10066","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group C","2018-05-17 01:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Devaney Center, Lincoln - Nebraska","https://women.volleybox.net/tr/devaney-center-a1041/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/poland-italy-c10067","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group C","2018-05-18 01:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Devaney Center, Lincoln - Nebraska","https://women.volleybox.net/tr/devaney-center-a1041/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/turkey-poland-c10069","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group G","2018-05-22 15:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/china-poland-c10090","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group G","2018-05-23 12:30","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/poland-serbia-c10091","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group G","2018-05-24 12:30","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/poland-thailand-c10093","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
