"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","connected_by","rank_user","show_predictions","rank_user href","show_movies 2","show_movies href"
",  Group A","2019-05-15 08:30","Montreux Volley Masters 2019","https://women.volleybox.net/tr/women-montreux-volley-masters-2019-o8348/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","3 : 1","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/china-poland-c15738","1","6 yıl önce önce  tarafından eklendi","S…k","","","",""
",  Group A","2019-05-16 19:45","Montreux Volley Masters 2019","https://women.volleybox.net/tr/women-montreux-volley-masters-2019-o8348/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","1 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/germany-poland-c15740","1","6 yıl önce önce  tarafından eklendi","S…k","","","",""
",  semi-final","2019-05-17 14:45","Montreux Volley Masters 2019","https://women.volleybox.net/tr/women-montreux-volley-masters-2019-o8348/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/poland-thailand-c15885","1","6 yıl önce önce  tarafından eklendi","S…k","","","",""
",  final","2019-05-18 13:15","Montreux Volley Masters 2019","https://women.volleybox.net/tr/women-montreux-volley-masters-2019-o8348/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","3 : 1","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","Japonya","https://women.volleybox.net/tr/poland-japan-c15917","1","6 yıl önce önce  tarafından eklendi","S…k","","","",""
",  Group A","2019-05-21 16:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Stegu Arena, Opole","https://women.volleybox.net/tr/stegu-arena-a950/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","2 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/poland-italy-c15792","","6 yıl önce önce  tarafından eklendi","Anderson Antunes","22","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group A","2019-05-22 21:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Stegu Arena, Opole","https://women.volleybox.net/tr/stegu-arena-a950/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","Almanya","https://women.volleybox.net/tr/poland-germany-c15800","","6 yıl önce önce  tarafından eklendi","Anderson Antunes","21","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group A","2019-05-23 21:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Stegu Arena, Opole","https://women.volleybox.net/tr/stegu-arena-a950/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","0 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/thailand-poland-c15808","","6 yıl önce önce  tarafından eklendi","Anderson Antunes","23","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group H","2019-05-28 17:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/bulgaria-poland-c15895","","6 yıl önce önce  tarafından eklendi","Anderson Antunes","18","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group H","2019-05-29 12:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/poland-brazil-c15903","","6 yıl önce önce  tarafından eklendi","Anderson Antunes","19","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group H","2019-05-30 12:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/poland-netherlands-c15911","","6 yıl önce önce  tarafından eklendi","Anderson Antunes","19","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group L","2019-06-04 18:15","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Sportcampus Lange Munte, Kortrijk","https://women.volleybox.net/tr/sportcampus-lange-munte-a2444/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/serbia-poland-c15989","","6 yıl önce önce  tarafından eklendi","S…k","19","","",""
",  Group L","2019-06-05 16:15","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Sportcampus Lange Munte, Kortrijk","https://women.volleybox.net/tr/sportcampus-lange-munte-a2444/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/belgium-poland-c15992","","6 yıl önce önce  tarafından eklendi","S…k","18","","",""
",  Group L","2019-06-06 13:15","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Sportcampus Lange Munte, Kortrijk","https://women.volleybox.net/tr/sportcampus-lange-munte-a2444/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/poland-russia-c15993","","6 yıl önce önce  tarafından eklendi","S…k","18","","",""
