"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","show_predictions","show_movies","show_movies href","show_movies 2","rank_user","rank_user href","show_movies 3","rank_editor","rank_editor href"
",","2022-05-25 19:30","dostluk maçı 2021/22","https://women.volleybox.net/tr/women-friendly-match-2021-22-o21986/matches","Hala Nysa, Nysa","https://women.volleybox.net/tr/hala-nysa-a2145/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","Almanya","https://women.volleybox.net/tr/poland-germany-c114503","3 yıl önce önce  tarafından eklendi","","","","","","","","",""
",  1st round - Group A","2022-06-02 01:10","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Brookshire Grocery Arena, Bossier City","https://women.volleybox.net/tr/brookshire-grocery-arena-a1496/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/poland-canada-c100326","3 yıl önce önce  tarafından eklendi","59","1","https://women.volleybox.net/tr/frame/match_report/0/16609","3","atilberk","https://women.volleybox.net/tr/user/atilberk","","",""
",  1st round - Group A","2022-06-02 22:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Brookshire Grocery Arena, Bossier City","https://women.volleybox.net/tr/brookshire-grocery-arena-a1496/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/brazil-poland-c100329","3 yıl önce önce  tarafından eklendi","59","1","https://women.volleybox.net/tr/frame/match_report/0/16616","4","atilberk","https://women.volleybox.net/tr/user/atilberk","","",""
",  1st round - Group A","2022-06-04 22:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Brookshire Grocery Arena, Bossier City","https://women.volleybox.net/tr/brookshire-grocery-arena-a1496/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/south-korea-poland-c100335","3 yıl önce önce  tarafından eklendi","67","1","https://women.volleybox.net/tr/frame/match_report/0/16633","1","atilberk","https://women.volleybox.net/tr/user/atilberk","3","",""
",  1st round - Group A","2022-06-05 20:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Brookshire Grocery Arena, Bossier City","https://women.volleybox.net/tr/brookshire-grocery-arena-a1496/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/poland-germany-c100337","3 yıl önce önce  tarafından eklendi","63","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256507119","3","atilberk","https://women.volleybox.net/tr/user/atilberk","","",""
",  2nd round - Group B","2022-06-14 14:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Mall of Asia Arena, Manila","https://women.volleybox.net/tr/mall-of-asia-arena-a708/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/japan-poland-c100374","3 yıl önce önce  tarafından eklendi","74","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256509615","2","atilberk","https://women.volleybox.net/tr/user/atilberk","1","",""
",  2nd round - Group B","2022-06-16 06:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Mall of Asia Arena, Manila","https://women.volleybox.net/tr/mall-of-asia-arena-a708/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/poland-thailand-c100377","3 yıl önce önce  tarafından eklendi","70","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256509936","4","atilberk","https://women.volleybox.net/tr/user/atilberk","","",""
",  2nd round - Group B","2022-06-17 06:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Mall of Asia Arena, Manila","https://women.volleybox.net/tr/mall-of-asia-arena-a708/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/poland-usa-c100380","3 yıl önce önce  tarafından eklendi","72","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510167","3","atilberk","https://women.volleybox.net/tr/user/atilberk","","",""
",  2nd round - Group B","2022-06-18 10:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Mall of Asia Arena, Manila","https://women.volleybox.net/tr/mall-of-asia-arena-a708/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/belgium-poland-c100384","3 yıl önce önce  tarafından eklendi","64","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510425","2","atilberk","https://women.volleybox.net/tr/user/atilberk","","",""
",","2022-06-23 19:00","dostluk maçı 2021/22","https://women.volleybox.net/tr/women-friendly-match-2021-22-o21986/matches","Radomskie Centrum Sportu, Radom","https://women.volleybox.net/tr/radomskie-centrum-sportu-a3585/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","4 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/poland-south-korea-c130311","2 yıl önce önce  tarafından eklendi","","","","","","","","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi"
",","2022-06-24 19:00","dostluk maçı 2021/22","https://women.volleybox.net/tr/women-friendly-match-2021-22-o21986/matches","Radomskie Centrum Sportu, Radom","https://women.volleybox.net/tr/radomskie-centrum-sportu-a3585/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","4 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/poland-south-korea-c123772","2 yıl önce önce  tarafından eklendi","","1","https://women.volleybox.net/tr/frame/match_report/0/17105","","","","","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi"
",  3rd round - Group B","2022-06-29 20:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Armeec Arena, Sofia","https://women.volleybox.net/tr/armeec-arena-a42/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/italy-poland-c114652","3 yıl önce önce  tarafından eklendi","66","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256512191","2","","","","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi"
",  3rd round - Group B","2022-06-30 16:30","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Armeec Arena, Sofia","https://women.volleybox.net/tr/armeec-arena-a42/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/poland-china-c114654","3 yıl önce önce  tarafından eklendi","67","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256512664","1","","","1","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi"
