"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_newbie","rank_newbie href"
",  Group A","2014-08-02 12:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","3 : 1","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","Japonya","https://women.volleybox.net/tr/russia-japan-c31509","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group A","2014-08-03 15:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","3 : 2","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","Rusya","https://women.volleybox.net/tr/turkey-russia-c31512","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group D","2014-08-08 07:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Ginásio do Ibirapuera, Sao Paolo","https://women.volleybox.net/tr/ginasio-do-ibirapuera-a80/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/russia-usa-c31525","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group D","2014-08-09 06:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Ginásio do Ibirapuera, Sao Paolo","https://women.volleybox.net/tr/ginasio-do-ibirapuera-a80/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/brazil-russia-c229","10 yıl önce önce  tarafından eklendi","",""
",  Group D","2014-08-10 08:30","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Ginásio do Ibirapuera, Sao Paolo","https://women.volleybox.net/tr/ginasio-do-ibirapuera-a80/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/russia-south-korea-c31530","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group H","2014-08-15 15:10","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/russia-italy-c31550","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group H","2014-08-16 15:10","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/russia-turkey-c31552","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group H","2014-08-17 15:10","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/germany-russia-c31554","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Final Round","2014-08-20 15:05","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Ariake Coliseum, Koto Ward Tokyo","https://women.volleybox.net/tr/ariake-coliseum-a3358/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/japan-russia-c31563","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Final Round","2014-08-21 08:20","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Ariake Coliseum, Koto Ward Tokyo","https://women.volleybox.net/tr/ariake-coliseum-a3358/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/russia-belgium-c31564","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
