"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","show_movies","rank_user","rank_user href","rank_newbie","rank_newbie href"
",  Group B","2016-01-05 14:00","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","1 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","Rusya","https://women.volleybox.net/tr/italy-russia-c65609","4 yıl önce önce  tarafından eklendi","","","","",""
",  Group B","2016-01-07 14:00","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","3 : 0","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/upload/teams/nt_flag_Belgium.png","Belçika","https://women.volleybox.net/tr/russia-belgium-c65612","4 yıl önce önce  tarafından eklendi","","","","",""
",  semi-final","2016-01-08 19:30","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/russia-turkey-c65615","4 yıl önce önce  tarafından eklendi","","","","",""
",  final","2016-01-09 19:30","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/russia-netherlands-c65617","4 yıl önce önce  tarafından eklendi","2","","","",""
",  Group C1","2016-06-10 20:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/russia-netherlands-c3315","9 yıl önce önce  tarafından eklendi","","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group C1","2016-06-11 20:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/russia-belgium-c3313","9 yıl önce önce  tarafından eklendi","","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group C1","2016-06-12 20:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/russia-turkey-c3312","9 yıl önce önce  tarafından eklendi","","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group F1","2016-06-17 18:30","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","PalaFlorio, Bari","https://women.volleybox.net/tr/palaflorio-a199/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/russia-netherlands-c3353","9 yıl önce önce  tarafından eklendi","","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group F1","2016-06-18 18:30","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","PalaFlorio, Bari","https://women.volleybox.net/tr/palaflorio-a199/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/thailand-russia-c3355","9 yıl önce önce  tarafından eklendi","","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group F1","2016-06-19 21:30","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","PalaFlorio, Bari","https://women.volleybox.net/tr/palaflorio-a199/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/russia-italy-c3358","9 yıl önce önce  tarafından eklendi","","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group I1","2016-06-24 10:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Shimadzu Arena Kyoto, Kyoto City Kyoto","https://women.volleybox.net/tr/shimadzu-arena-kyoto-a266/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/serbia-russia-c3371","9 yıl önce önce  tarafından eklendi","","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group I1","2016-06-25 09:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Shimadzu Arena Kyoto, Kyoto City Kyoto","https://women.volleybox.net/tr/shimadzu-arena-kyoto-a266/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/thailand-russia-c3373","9 yıl önce önce  tarafından eklendi","","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group I1","2016-06-26 12:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Shimadzu Arena Kyoto, Kyoto City Kyoto","https://women.volleybox.net/tr/shimadzu-arena-kyoto-a266/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/japan-russia-c3376","9 yıl önce önce  tarafından eklendi","","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group J1","2016-07-07 14:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/russia-brazil-c3396","8 yıl önce önce  tarafından eklendi","2","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group J1","2016-07-08 14:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/thailand-russia-c3397","8 yıl önce önce  tarafından eklendi","1","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Semi-Final (Group 1)","2016-07-09 14:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/usa-russia-c3411","8 yıl önce önce  tarafından eklendi","","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  3rd place match (Group 1)","2016-07-10 11:00","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/netherlands-russia-c3413","8 yıl önce önce  tarafından eklendi","1","przemek16","https://women.volleybox.net/tr/user/przemek16","",""
",  Group A","2016-08-06 16:30","Olimpiyat Oyunları 2016","https://women.volleybox.net/tr/women-the-olympics-2016-o965/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/russia-argentina-c31741","5 yıl önce önce  tarafından eklendi","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group A","2016-08-08 16:30","Olimpiyat Oyunları 2016","https://women.volleybox.net/tr/women-the-olympics-2016-o965/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/russia-south-korea-c31743","5 yıl önce önce  tarafından eklendi","1","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group A","2016-08-10 13:05","Olimpiyat Oyunları 2016","https://women.volleybox.net/tr/women-the-olympics-2016-o965/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cameroon-t739/matches","https://volleybox.net/media/img/light-px.png","Kamerun","https://women.volleybox.net/tr/russia-cameroon-c31745","5 yıl önce önce  tarafından eklendi","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group A","2016-08-12 16:30","Olimpiyat Oyunları 2016","https://women.volleybox.net/tr/women-the-olympics-2016-o965/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/russia-japan-c31749","5 yıl önce önce  tarafından eklendi","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group A","2016-08-14 18:35","Olimpiyat Oyunları 2016","https://women.volleybox.net/tr/women-the-olympics-2016-o965/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/brazil-russia-c31753","5 yıl önce önce  tarafından eklendi","1","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  quarterfinal","2016-08-16 14:00","Olimpiyat Oyunları 2016","https://women.volleybox.net/tr/women-the-olympics-2016-o965/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/russia-serbia-c31771","5 yıl önce önce  tarafından eklendi","1","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
