"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","rank_admin","rank_admin href","show_predictions","show_movies 2","show_movies href","rank_user href"
",  2nd round - Group A","2017-06-01 18:30","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Gradski vrt Hall, Osijek","https://women.volleybox.net/tr/gradski-vrt-hall-a6425/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","3 : 0","https://women.volleybox.net/tr/georgia-t850/matches","https://volleybox.net/media/upload/teams/nt_flag_Georgia.png","Georgia","https://women.volleybox.net/tr/russia-georgia-c181423","1 yıl önce önce  tarafından eklendi","J…e","","","","","","",""
",  2nd round - Group A","2017-06-02 18:30","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Gradski vrt Hall, Osijek","https://women.volleybox.net/tr/gradski-vrt-hall-a6425/matches","Yunanistan","https://women.volleybox.net/tr/greece-t862/matches","https://volleybox.net/media/upload/teams/nt_flag_Greece.png","1 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","Rusya","https://women.volleybox.net/tr/greece-russia-c181427","1 yıl önce önce  tarafından eklendi","J…e","","","","","","",""
",  2nd round - Group A","2017-06-03 18:30","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Gradski vrt Hall, Osijek","https://women.volleybox.net/tr/gradski-vrt-hall-a6425/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/russia-hungary-c181430","1 yıl önce önce  tarafından eklendi","J…e","","","","","","",""
",  2nd round - Group A","2017-06-04 21:00","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Gradski vrt Hall, Osijek","https://women.volleybox.net/tr/gradski-vrt-hall-a6425/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/croatia-russia-c181434","1 yıl önce önce  tarafından eklendi","J…e","","","","","","",""
",  Group A","2018-05-15 17:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","DIVS Uralochka, Ekaterinburg","https://women.volleybox.net/tr/divs-uralochka-a374/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/russia-argentina-c10054","7 yıl önce önce  tarafından eklendi","","1","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group A","2018-05-16 17:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","DIVS Uralochka, Ekaterinburg","https://women.volleybox.net/tr/divs-uralochka-a374/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/russia-thailand-c10056","7 yıl önce önce  tarafından eklendi","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group A","2018-05-17 17:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","DIVS Uralochka, Ekaterinburg","https://women.volleybox.net/tr/divs-uralochka-a374/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/russia-netherlands-c10058","7 yıl önce önce  tarafından eklendi","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group F","2018-05-22 09:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Suwon Gymnasium, Suwon","https://women.volleybox.net/tr/suwon-gymnasium-a453/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/italy-russia-c10083","7 yıl önce önce  tarafından eklendi","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group F","2018-05-23 13:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Suwon Gymnasium, Suwon","https://women.volleybox.net/tr/suwon-gymnasium-a453/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/south-korea-russia-c10086","7 yıl önce önce  tarafından eklendi","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group F","2018-05-24 10:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Suwon Gymnasium, Suwon","https://women.volleybox.net/tr/suwon-gymnasium-a453/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/germany-russia-c10087","7 yıl önce önce  tarafından eklendi","","1","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
