"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","connected_by","rank_user","rank_user href","show_movies","show_movies href"
",  Group C","2019-05-22 23:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","1 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","Rusya","https://women.volleybox.net/tr/china-russia-c15801","22","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group C","2019-05-24 02:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/upload/teams/nt_flag_Brazil.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","Rusya","https://women.volleybox.net/tr/brazil-russia-c15810","22","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group F","2019-05-28 14:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/russia-germany-c15893","19","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group F","2019-05-29 14:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/japan-russia-c15901","19","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group F","2019-05-30 12:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/turkey-russia-c15912","19","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group L","2019-06-04 21:15","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Sportcampus Lange Munte, Kortrijk","https://women.volleybox.net/tr/sportcampus-lange-munte-a2444/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/belgium-russia-c15990","18","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group L","2019-06-05 18:15","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Sportcampus Lange Munte, Kortrijk","https://women.volleybox.net/tr/sportcampus-lange-munte-a2444/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/serbia-russia-c15991","17","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group L","2019-06-06 13:15","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Sportcampus Lange Munte, Kortrijk","https://women.volleybox.net/tr/sportcampus-lange-munte-a2444/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/poland-russia-c15993","18","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group M","2019-06-11 13:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","PalaBarton, Perugia","https://women.volleybox.net/tr/palabarton-a233/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/russia-south-korea-c15995","18","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group M","2019-06-12 13:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","PalaBarton, Perugia","https://women.volleybox.net/tr/palabarton-a233/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/bulgaria-russia-c15997","18","6 yıl önce önce  tarafından eklendi","S…k","","",""
