"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","rank_user href","show_predictions","show_movies 2","show_movies href","rank_editor","rank_editor href"
",  Group E","2019-08-03 20:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/russia-canada-c176674","2 yıl önce önce  tarafından eklendi","J…e","","","","","","",""
",  Group E","2019-08-04 20:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","3 : 2","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","Güney Kore","https://women.volleybox.net/tr/russia-south-korea-c176676","2 yıl önce önce  tarafından eklendi","J…e","","","","","","",""
",  1st round","2020-08-27 16:00","Cup of the Governor of the Kaliningrad region 2020/21","https://women.volleybox.net/tr/women-cup-of-the-governor-of-the-kaliningrad-region-2020-21-o17961/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Uralochka-NTMK","https://women.volleybox.net/tr/uralochka-ntmk-t2306/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/uralochka-ntmk-russia-c44856","4 yıl önce önce  tarafından eklendi","Evgeniy Daiv","1","https://women.volleybox.net/tr/user/Legioner39","","","","",""
",  2nd round","2020-08-28 16:00","Cup of the Governor of the Kaliningrad region 2020/21","https://women.volleybox.net/tr/women-cup-of-the-governor-of-the-kaliningrad-region-2020-21-o17961/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/dinamo-ak-bars-t2096/matches","https://volleybox.net/media/img/light-px.png","Dinamo-Ak Bars","https://women.volleybox.net/tr/russia-dinamo-ak-bars-c44858","4 yıl önce önce  tarafından eklendi","Evgeniy Daiv","1","https://women.volleybox.net/tr/user/Legioner39","","","","",""
",  3rd round","2020-08-29 19:00","Cup of the Governor of the Kaliningrad region 2020/21","https://women.volleybox.net/tr/women-cup-of-the-governor-of-the-kaliningrad-region-2020-21-o17961/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/lokomotiv-kaliningrad-t6237/matches","https://volleybox.net/media/img/light-px.png","Lokomotiv Kaliningrad","https://women.volleybox.net/tr/russia-lokomotiv-kaliningrad-c44861","4 yıl önce önce  tarafından eklendi","Evgeniy Daiv","1","https://women.volleybox.net/tr/user/Legioner39","","","","",""
",  round robin - 1st round","2021-05-25 14:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/germany-russia-c69057","4 yıl önce önce  tarafından eklendi","","3","","63","1","https://cdn8.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-3-Germania-Russia-0-3.jpg","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou"
",  round robin - 2nd round","2021-05-26 16:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/belgium-russia-c69068","4 yıl önce önce  tarafından eklendi","","3","","65","1","https://cdn5.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-12-P-2-Belgio-Russia-2-3.jpg","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou"
",  round robin - 3rd round","2021-05-27 13:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/russia-netherlands-c69082","4 yıl önce önce  tarafından eklendi","","2","","62","1","https://cdn9.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-18-Russia-Olanda-1-3.jpg","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou"
",  round robin - 4th round","2021-05-31 22:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/russia-italy-c70044","4 yıl önce önce  tarafından eklendi","S…k","2","","65","1","https://cdn5.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-32-Russia-Italia-3-0.jpg","",""
",  round robin - 5th round","2021-06-01 22:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/brazil-russia-c70052","4 yıl önce önce  tarafından eklendi","S…k","","","57","1","https://cdn6.volleyball.it/wp-content/uploads/2021/06/WVNL2021-Match-40-Brasile-Russia-3-0.jpg","",""
",  round robin - 6th round","2021-06-02 16:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/japan-russia-c70056","4 yıl önce önce  tarafından eklendi","S…k","1","","56","1","https://cdn8.volleyball.it/wp-content/uploads/2021/06/WVNL2021-Match-44-Giappine-Russia-3-0.jpg","",""
",  round robin - 7th round","2021-06-06 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/dominican-republic-russia-c70065","4 yıl önce önce  tarafından eklendi","S…k","","","58","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312146","",""
",  round robin - 8th round","2021-06-07 11:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/russia-thailand-c71715","4 yıl önce önce  tarafından eklendi","S…k","1","","57","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312202","",""
