"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_movies"
",  quarterfinal","2015-05-26 20:30","Asya Şampiyonası 2015","https://women.volleybox.net/tr/women-asian-championships-2015-o335/matches","Tianjin Olympic Center Stadium, Tianjin","https://women.volleybox.net/tr/tianjin-olympic-center-stadium-a544/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","3 : 1","https://women.volleybox.net/tr/iran-t910/matches","https://volleybox.net/media/upload/teams/nt_flag_Iran_Islamic_Republic_of.png","İran","https://women.volleybox.net/tr/south-korea-iran-c865","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864",""
",  semi-final","2015-05-27 20:30","Asya Şampiyonası 2015","https://women.volleybox.net/tr/women-asian-championships-2015-o335/matches","Tianjin Olympic Center Stadium, Tianjin","https://women.volleybox.net/tr/tianjin-olympic-center-stadium-a544/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","3 : 1","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/upload/teams/nt_flag_Chinese_Taipei.png","Çin Taipei","https://women.volleybox.net/tr/south-korea-chinese-taipei-c861","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","3"
",  final","2015-05-28 01:00","Asya Şampiyonası 2015","https://women.volleybox.net/tr/women-asian-championships-2015-o335/matches","Tianjin Olympic Center Stadium, Tianjin","https://women.volleybox.net/tr/tianjin-olympic-center-stadium-a544/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","Güney Kore","https://women.volleybox.net/tr/china-south-korea-c643","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","2"
",  1st round - Group B","2015-08-22 08:10","Dünya Kupası 2015","https://women.volleybox.net/tr/women-fivb-world-cup-2015-o1007/matches","Matsumoto City Gymnasium, Matsumoto City Nagano","https://women.volleybox.net/tr/matsumoto-city-gymnasium-a267/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/usa-south-korea-c682","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3",""
",  1st round - Group B","2015-08-23 08:10","Dünya Kupası 2015","https://women.volleybox.net/tr/women-fivb-world-cup-2015-o1007/matches","Matsumoto City Gymnasium, Matsumoto City Nagano","https://women.volleybox.net/tr/matsumoto-city-gymnasium-a267/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/south-korea-peru-c685","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","1"
",  1st round - Group B","2015-08-24 08:10","Dünya Kupası 2015","https://women.volleybox.net/tr/women-fivb-world-cup-2015-o1007/matches","Matsumoto City Gymnasium, Matsumoto City Nagano","https://women.volleybox.net/tr/matsumoto-city-gymnasium-a267/matches","Cezayir","https://women.volleybox.net/tr/algeria-t649/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/algeria-south-korea-c688","9 yıl önce önce  tarafından eklendi","","",""
",  1st round - Group B","2015-08-26 14:40","Dünya Kupası 2015","https://women.volleybox.net/tr/women-fivb-world-cup-2015-o1007/matches","Matsumoto City Gymnasium, Matsumoto City Nagano","https://women.volleybox.net/tr/matsumoto-city-gymnasium-a267/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/china-south-korea-c696","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","2"
",  1st round - Group B","2015-08-27 14:40","Dünya Kupası 2015","https://women.volleybox.net/tr/women-fivb-world-cup-2015-o1007/matches","Matsumoto City Gymnasium, Matsumoto City Nagano","https://women.volleybox.net/tr/matsumoto-city-gymnasium-a267/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/south-korea-serbia-c701","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","1"
",  2nd round - Group A","2015-08-30 11:10","Dünya Kupası 2015","https://women.volleybox.net/tr/women-fivb-world-cup-2015-o1007/matches","Sendai City Gymnasium, Sendai City Miyagi","https://women.volleybox.net/tr/sendai-city-gymnasium-a278/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/russia-south-korea-c707","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","1"
",  2nd round - Group A","2015-08-31 15:20","Dünya Kupası 2015","https://women.volleybox.net/tr/women-fivb-world-cup-2015-o1007/matches","Sendai City Gymnasium, Sendai City Miyagi","https://women.volleybox.net/tr/sendai-city-gymnasium-a278/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/japan-south-korea-c714","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3",""
