"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","show_movies href","connected_by","rank_admin","rank_admin href","show_movies 2","rank_newbie","rank_newbie href"
",  Group A2","2017-07-08 21:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Bulstrad Arena, Ruse","https://women.volleybox.net/tr/bulstrad-arena-a769/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","3 : 2","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","Güney Kore","https://women.volleybox.net/tr/bulgaria-south-korea-c6138","1","http://www.fivb.org/vis_web/volley/WGP2017b/WGP2017b_p2-004.pdf","7 yıl önce önce  tarafından eklendi","","","","",""
",  Group A2","2017-07-09 17:40","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Bulstrad Arena, Ruse","https://women.volleybox.net/tr/bulstrad-arena-a769/matches","Kazakistan","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/upload/teams/nt_flag_Kazakhstan.png","0 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","Güney Kore","https://women.volleybox.net/tr/kazakhstan-south-korea-c6139","1","http://www.fivb.org/vis_web/volley/WGP2017b/WGP2017b_p2-005.pdf","7 yıl önce önce  tarafından eklendi","","","","",""
",  Group E2","2017-07-14 18:25","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Hala Sportowo-Widowiskowa, Ostrowiec Świętokrzyski","https://women.volleybox.net/tr/hala-sportowo-widowiskowa-a867/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","0 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","Güney Kore","https://women.volleybox.net/tr/argentina-south-korea-c6213","","","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","",""
",  Group E2","2017-07-15 18:25","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Hala Sportowo-Widowiskowa, Ostrowiec Świętokrzyski","https://women.volleybox.net/tr/hala-sportowo-widowiskowa-a867/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/south-korea-peru-c6215","","","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","",""
",  Group E2","2017-07-16 21:25","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Hala Sportowo-Widowiskowa, Ostrowiec Świętokrzyski","https://women.volleybox.net/tr/hala-sportowo-widowiskowa-a867/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/poland-south-korea-c6218","","","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","1","",""
",  Group H2","2017-07-21 10:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Suwon Gymnasium, Suwon","https://women.volleybox.net/tr/suwon-gymnasium-a453/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/img/light-px.png","Kazakistan","https://women.volleybox.net/tr/south-korea-kazakhstan-c6243","","","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","",""
",  Group H2","2017-07-22 08:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Suwon Gymnasium, Suwon","https://women.volleybox.net/tr/suwon-gymnasium-a453/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/south-korea-colombia-c6245","","","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","",""
",  Group H2","2017-07-23 08:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Suwon Gymnasium, Suwon","https://women.volleybox.net/tr/suwon-gymnasium-a453/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/south-korea-poland-c6247","","","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","",""
",  Semi-Final (Group 2)","2017-07-29 17:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Winter Stadium Sareza, Ostrava","https://women.volleybox.net/tr/winter-stadium-sareza-a468/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/south-korea-germany-c6271","","","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","1","",""
",  Final (Group 2)","2017-07-30 20:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Winter Stadium Sareza, Ostrava","https://women.volleybox.net/tr/winter-stadium-sareza-a468/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/south-korea-poland-c6374","","","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","",""
