"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","connected_by","rank_user","rank_user href","rank_editor","rank_editor href"
",  1st round - Group A","2022-06-03 22:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Brookshire Grocery Arena, Bossier City","https://women.volleybox.net/tr/brookshire-grocery-arena-a1496/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","Güney Kore","https://women.volleybox.net/tr/germany-south-korea-c100332","65","1","https://women.volleybox.net/tr/frame/match_report/0/16625","1","3","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk","",""
",  1st round - Group A","2022-06-04 22:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Brookshire Grocery Arena, Bossier City","https://women.volleybox.net/tr/brookshire-grocery-arena-a1496/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","0 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/south-korea-poland-c100335","67","1","https://women.volleybox.net/tr/frame/match_report/0/16633","1","3","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk","",""
",  1st round - Group A","2022-06-06 02:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Brookshire Grocery Arena, Bossier City","https://women.volleybox.net/tr/brookshire-grocery-arena-a1496/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/south-korea-canada-c100339","61","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256507143","1","2","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk","",""
",  2nd round - Group A","2022-06-16","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/dominican-republic-south-korea-c100359","73","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256509888","1","2","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk","",""
",  2nd round - Group A","2022-06-16 21:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/serbia-south-korea-c100360","70","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510137","3","","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk","",""
",  2nd round - Group A","2022-06-19 03:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/netherlands-south-korea-c100372","66","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510534","3","","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk","",""
",  2nd round - Group A","2022-06-19 22:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/turkey-south-korea-c100371","68","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510679","2","5","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk","",""
",","2022-06-23 19:00","dostluk maçı 2021/22","https://women.volleybox.net/tr/women-friendly-match-2021-22-o21986/matches","Radomskie Centrum Sportu, Radom","https://women.volleybox.net/tr/radomskie-centrum-sportu-a3585/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","4 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/poland-south-korea-c130311","","","","","","2 yıl önce önce  tarafından eklendi","","","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi"
",","2022-06-24 19:00","dostluk maçı 2021/22","https://women.volleybox.net/tr/women-friendly-match-2021-22-o21986/matches","Radomskie Centrum Sportu, Radom","https://women.volleybox.net/tr/radomskie-centrum-sportu-a3585/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","4 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/poland-south-korea-c123772","","1","https://women.volleybox.net/tr/frame/match_report/0/17105","","","2 yıl önce önce  tarafından eklendi","","","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi"
",  3rd round - Group B","2022-06-29 17:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Armeec Arena, Sofia","https://women.volleybox.net/tr/armeec-arena-a42/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/thailand-south-korea-c114651","67","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256512142","2","2","3 yıl önce önce  tarafından eklendi","","","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi"
